feature,feature_type,n_bins,avg_rank,avg_combined,max_combined,avg_shap,avg_ffa
item_drug_LORAZEPAM,drug,18,10.166666666666666,0.03862042336393106,0.1383073845395888,0.06732982915582426,0.009911017572037854
item_drug_FLUCONAZOLE,drug,18,12.277777777777779,0.009463269941308222,0.0549598192994615,0.01651610103756635,0.0024104388450500555
item_drug_HYDROCHLOROTHIAZIDE,drug,18,16.22222222222222,0.0062558942616036195,0.0202693642535872,0.011349171156601702,0.001162617366605536
item_drug_OFLOXACIN,drug,16,11.25,0.0026566264155635437,0.0070741938427513,0.005092297602128513,0.00022095522899857282
item_cpt_99214,cpt,15,7.8,0.1789928658564425,0.579108146145304,0.20216215872620463,0.1558235729866803
item_icd_M545,icd,15,9.266666666666667,0.09093504418315249,0.2150855529919092,0.1422715343342771,0.039598554032027916
item_drug_ERYTHROMYCIN,drug,15,11.133333333333333,0.005497988206836153,0.0107026758710457,0.01022165240556172,0.0007743240081105885
item_drug_KETOCONAZOLE,drug,15,15.133333333333333,0.005273393600384179,0.0173561462134736,0.009642863991409673,0.0009039232093587051
item_drug_CLONAZEPAM,drug,14,5.785714285714286,0.06103129684351506,0.2129032393113119,0.08672635427647446,0.035336239410555664
item_drug_DIAZEPAM,drug,14,11.285714285714286,0.0283171960012841,0.129520364412956,0.04317842917023986,0.013455962832328342
item_drug_LEVOFLOXACIN,drug,14,15.071428571428571,0.010871460820074286,0.0573928913529375,0.021003396962574535,0.0007395246775740387
item_drug_METHOCARBAMOL,drug,14,14.928571428571429,0.004948328957147607,0.019387173151073,0.0086780969710431,0.0012185609432521516
item_drug_MUPIROCIN,drug,14,14.142857142857142,0.0028551475640213714,0.0070593033152411,0.005540859373613107,0.00016943575442968534
item_drug_CARVEDILOL,drug,13,12.461538461538462,0.010912591447609461,0.0379388172367463,0.020907231373796353,0.0009179515214225909
item_icd_G8929,icd,12,8.75,0.07294164806646712,0.1581155733741071,0.12065443873479585,0.02522885739813836
item_icd_Z79891,icd,11,8.545454545454545,0.09012802888422201,0.200955771815311,0.14251269866573735,0.037743359102706715
