cohort_name,year,drug_name,frequency
opioid_ed,2016,VALSARTAN/HYDROCHLOROTHIA,226
opioid_ed,2016,HUMALOG KWIKPEN,225
opioid_ed,2016,QVAR,222
opioid_ed,2016,NUCYNTA,222
opioid_ed,2016,DOXYCYCLINE MONOHYDRATE,221
opioid_ed,2016,DOCQLACE,221
opioid_ed,2016,VIIBRYD,219
opioid_ed,2016,CIALIS,216
opioid_ed,2016,CONTOUR BLOOD GLUCOSE TES,214
opioid_ed,2016,HARVONI,212
opioid_ed,2016,DOXAZOSIN MESYLATE,211
opioid_ed,2016,DEXTROAMPHETAMINE SULFATE,209
opioid_ed,2016,CLINDAMYCIN HYDROCHLORIDE,209
opioid_ed,2016,ABILIFY,207
opioid_ed,2016,VITAMIN D3,205
opioid_ed,2016,METAXALONE,201
opioid_ed,2016,TRINTELLIX,200
opioid_ed,2016,INCRUSE ELLIPTA,200
opioid_ed,2016,MYRBETRIQ,199
opioid_ed,2016,GEMFIBROZIL,198
opioid_ed,2016,EPIPEN 2-PAK,197
opioid_ed,2016,ALPRAZOLAM ER,197
opioid_ed,2016,MODAFINIL,192
opioid_ed,2016,CHANTIX STARTING MONTH PA,192
opioid_ed,2016,BYSTOLIC,192
opioid_ed,2016,VICTOZA,190
opioid_ed,2016,GLIPIZIDE ER,190
opioid_ed,2016,IPRATROPIUM BROMIDE/ALBUT,185
opioid_ed,2016,ERYTHROMYCIN,184
opioid_ed,2016,HUMALOG,184
opioid_ed,2016,CARAFATE,183
opioid_ed,2016,BAC,183
opioid_ed,2016,BELSOMRA,182
opioid_ed,2016,PHENOBARBITAL,181
opioid_ed,2016,PERMETHRIN,180
opioid_ed,2016,CHANTIX,180
opioid_ed,2016,LIOTHYRONINE SODIUM,177
opioid_ed,2016,FLOVENT HFA,176
opioid_ed,2016,CONTOUR NEXT BLOOD GLUCOS,176
opioid_ed,2016,MOVANTIK,176
opioid_ed,2016,SAVELLA,173
opioid_ed,2016,AMLODIPINE BESYLATE/BENAZ,173
opioid_ed,2016,RAMIPRIL,172
opioid_ed,2016,RIZATRIPTAN BENZOATE ODT,168
opioid_ed,2016,ROPINIROLE HYDROCHLORIDE,168
opioid_ed,2016,ACETAMINOPHEN/CODEINE PHO,164
opioid_ed,2016,ETODOLAC,164
opioid_ed,2016,HYDROMORPHONE HCL ER,164
opioid_ed,2016,CARTIA XT,164
opioid_ed,2016,FENOFIBRATE MICRONIZED,163
opioid_ed,2016,METOCLOPRAMIDE HCL,162
opioid_ed,2016,NASONEX,161
opioid_ed,2016,CHLORZOXAZONE,161
opioid_ed,2016,RANEXA,161
opioid_ed,2016,AZELASTINE HYDROCHLORIDE,160
opioid_ed,2016,MECLIZINE HYDROCHLORIDE,160
opioid_ed,2016,BREO ELLIPTA,160
opioid_ed,2016,ENOXAPARIN SODIUM,159
opioid_ed,2016,CLONIDINE HCL,159
opioid_ed,2016,ZONISAMIDE,157
opioid_ed,2016,CARBAMAZEPINE ER,156
opioid_ed,2016,TRUVADA,156
opioid_ed,2016,DISULFIRAM,155
opioid_ed,2016,CLOTRIMAZOLE,154
opioid_ed,2016,CLARITHROMYCIN,154
opioid_ed,2016,PREDNISOLONE ACETATE,154
opioid_ed,2016,LEVEMIR,153
opioid_ed,2016,CLINDAMYCIN PHOSPHATE,152
opioid_ed,2016,DICLOFENAC SODIUM ER,151
opioid_ed,2016,BD PEN NEEDLE/MINI/ULTRA-,151
opioid_ed,2016,PIOGLITAZONE HYDROCHLORID,151
opioid_ed,2016,ONETOUCH ULTRA,150
opioid_ed,2016,IRBESARTAN,150
opioid_ed,2016,PRIMIDONE,149
