feature,importance_normalized,importance_scaled,n_models
item_95806,0.005849237099579895,0.005088627375309524,3
item_L400,0.005849048681394743,0.005088463458217662,3
item_O99213,0.005848889668912476,0.005088325123037108,3
item_27096,0.005848871590016309,0.005088309395043116,3
item_ALLOPURINOL,0.005848822650353638,0.005088266819284438,3
item_EQ ALLERGY RELIEF,0.005848816085666517,0.005088261108241096,3
item_NIKKI,0.005848731942516855,0.005088187906706003,3
item_M5442,0.005848567192935911,0.005088044580454495,3
item_ENSKYCE,0.005848430114953943,0.0050879253275058255,3
item_E109,0.005848366434152816,0.005087869927483159,3
item_99173,0.005848312015871156,0.005087822585521625,3
item_99254,0.0058482970759980105,0.0050878095883655555,3
item_DICLOXACILLIN SODIUM,0.00584828426504121,0.0050877984432906725,3
item_E1140,0.0058482138660574225,0.005087737198689027,3
item_MUPIROCIN,0.005848196074625794,0.005087721720778919,3
item_86703,0.005848188068317003,0.00508771475557621,3
item_H66002,0.005847998619203842,0.005087549941613799,3
item_FINASTERIDE,0.005847643151674436,0.005087240697558485,3
item_RISPERIDONE,0.005847569526447897,0.005087176646240869,3
item_H6092,0.0058475020941262884,0.005087117982529366,3
item_O3680X0,0.00584748048766858,0.00508709918568282,3
item_84432,0.0058474546623431215,0.005087076718572003,3
item_J2930,0.00584738618297274,0.005087017143965464,3
item_86336,0.005847303875753025,0.005086945539623855,3
item_I071,0.005847286464351501,0.005086930392326365,3
item_S8001XA,0.005847120081039072,0.005086785644786813,3
item_01961,0.005847092380601183,0.005086761546395151,3
item_86671,0.005847029537148562,0.005086706874835779,3
item_E8881,0.005846991813902275,0.005086674056958769,3
item_MORPHINE SULFATE,0.0058469679381902475,0.005086653285942009,3
item_S99911A,0.005846948643554821,0.005086636500298281,3
item_Z981,0.0058468885740856815,0.0050865842420054685,3
item_R911,0.005846802209020072,0.0050865091074828546,3
item_70487,0.005846710286831536,0.005086429138461764,3
item_CHANTIX,0.005846692320282619,0.005086413508205869,3
item_DIVALPROEX SODIUM DR,0.005846649761911021,0.00508637648394252,3
item_CHLORZOXAZONE,0.005846540088181562,0.005086281071714809,3
item_Z5111,0.005846433947098807,0.005086188732763566,3
item_CIPRODEX,0.0058463910201798485,0.005086151387877176,3
item_97035,0.005846201447180224,0.0050859864661379674,3
