title,pubdate,pmc_id,authors
"Emergency Department Visits Involving Mental Health Conditions, Suicide-Related Behaviors, and Drug Overdoses Among Adolescents - United States, January 2019-February 2023.",2023,PMC10208370,"Anderson, Johns, Holland, Chen, Vivolo-Kantor, Trinh, Bitsko, Leeb, Radhakrishnan, Bacon, Jones"
Emotional and Behavioral Trajectories of 2 to 9 Years Old Children Born to Opioid-Dependent Mothers.,2021,PMC7943531,"Jaekel, Kim, Lee, Schwartz, Henderson, Woodward"
Ethical issues in pain and palliation.,2024,PMC10911254,"Cascella, Laudani, Scarpati, Piazza"
Evaluation of a student clinical research education program in addiction medicine.,2023,PMC9848279,"Canfield, Truong, Bereznicka, Bridden, Liebschutz, Alford, Saitz, Samet, Walley, Lunze"
Expanding buprenorphine prescribing in primary care: a qualitative study of the experiences of primary care providers and nurse care managers participating in the New York City buprenorphine nurse care manager initiative.,2025,PMC12326650,"Warren, Beharie, Kaplan-Dobbs, Tesfaye Rogoza, Harocopos"
Exploring the Association of State Policies and the Trajectories of Buprenorphine Prescriber Patient Caseloads.,2023,PMC10680051,"Griffin, Cabreros, Saloner, Gordon, Kerber, Stein"
Federal opioid agonist therapy policy: interrupted time series analysis of the impact of the methadone exemption removal across eight provinces in Canada.,2024,PMC11302312,"Sud, Campbell, Sivakumar, Upshur, Moineddin, Chiu"
Five-Year Trajectories of Prescription Opioid Use.,2023,PMC10415961,"Gisev, Buizen, Hopkins, Schaffer, Daniels, Bharat, Dobbins, Larney, Blyth, Currow, Wilson, Pearson, Degenhardt"
"Health service utilization, substance use treatment response, and death in patients with opioid use disorder and comorbid hepatitis C findings from prospective cohort study with administrative database linkage.",2024,PMC11750131,"Dennis, Babe, Gayowsky, Rosic, Rodrigues, Bach, Perez, de Oliveira, Samet, Weaver, Young, Dionne, Ahmed, Kim, Thabane, Samaan"
Health-related quality of life measures as predictors for recurrent hospitalization and mortality among patients in heroin-assisted treatment.,2025,PMC12689800,"Melis, Kvamme, Tjagvad, Eide, Thylstrup, Clausen, Hesse"
Health-related quality of life trajectories of patients in heroin-assisted treatment.,2025,NA,"Melis, Castel, Eide, Clausen"
How to feed patients with small intestinal dysmotility.,2025,NA,"Conley, Creed, Lal"
Iatrogenic trainwrecks and moral injury.,2021,NA,"Chary, Flood"
Identifying bio-behavioural signatures of persistent opioid use risk in trauma injury patients: a protocol for a prospective cohort study.,2025,PMC12414153,"Schmitz, Yoon, Kluwe-Schiavon, Harvin, Gunaratne, Mouton, Motley, Fox, Vincent, Tarbet, Walss-Bass"
Identifying genetic loci and phenomic associations of substance use traits: A multi-trait analysis of GWAS (MTAG) study.,2023,PMC10754226,"Xu, Toikumo, Crist, Glogowska, Jinwala, Deak, Justice, Gelernter, Johnson, Kranzler, Kember"
Identifying opioid dose reductions and discontinuation among patients with chronic opioid therapy.,2021,PMC8213356,"Hallvik, Johnston, Geddes, Leichtling, Korthuis, Hartung"
Identifying patterns of withdrawal among patients in treatment for opioid use disorder: A secondary latent class growth analysis of the CTN XBOT trial.,2025,PMC12604569,"Vest, Freibott, Dunn, Moran, Korthuis, Lee, Nunes, Timko"
"Impact of 30-day prescribed opioid dose trajectory on fatal overdose risk: A population-based, statewide cohort study.",2024,PMC10897080,"Henry, Fang, Crawford, Wintemute, Tseregounis, Gasper, Shev, Cartus, Marshall, Tancredi, Cerdá, Stewart"
Impact of COVID-19 lockdown on methadone and buprenorphine prescriptions in England primary cares: an interrupted time series analysis.,2025,PMC12750698,"Chang, Liao, Chen, Chen"
