drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source
SULFAMETHOXAZOLE/TRIMETHO,sulfamethoxazole / trimethoprim,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AMITRIPTYLINE HYDROCHLORI,amitriptyline,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AMITRIPTYLINE HYDROCHLORI,amitriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE TRANSDERMAL SYST,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE TRANSDERMAL SYST,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LIDOCAINE VISCOUS,lidocaine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OMEPRAZOLE,omeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HCL,tramadol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HCL,tramadol,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HCL,tramadol,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL ER,venlafaxine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SERTRALINE HYDROCHLORIDE,sertraline,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HYDROCHLORIDE,paroxetine,HTR1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AMPHETAMINE/DEXTROAMPHETA,amphetamine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUTICASONE PROPIONATE,fluticasone propionate,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN D,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ATOMOXETINE,atomoxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CIPROFLOXACIN HYDROCHLORI,ciprofloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPROPION HCL,bupropion,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE,risperidone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE,risperidone,DRD2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE,risperidone,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE,risperidone,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RISPERIDONE,risperidone,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MELOXICAM,meloxicam,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LO LOESTRIN FE,acebutolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LO LOESTRIN FE,acebutolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LO LOESTRIN FE,acebutolol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LO LOESTRIN FE,acebutolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LO LOESTRIN FE,acebutolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DESVENLAFAXINE ER,desvenlafaxine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DESVENLAFAXINE ER,desvenlafaxine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL,paroxetine,HTR1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SPIRONOLACTONE,spironolactone,ADD1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NYSTATIN/TRIAMCINOLONE,triamcinolone,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DIVALPROEX SODIUM ER,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QUETIAPINE FUMARATE ER,quetiapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
IBUPROFEN,ibuprofen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
IBUPROFEN,ibuprofen,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE,hydrocodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE,hydrocodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCORTISONE,hydrocodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN B-6,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HYDROCHLORIDE,venlafaxine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DIVALPROEX SODIUM DR,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PHENAZOPYRIDINE HYDROCHLO,phenazopyridine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OFLOXACIN,ofloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AUGMENTED BETAMETHASONE D,methadone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AUGMENTED BETAMETHASONE D,methadone,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AUGMENTED BETAMETHASONE D,methadone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AUGMENTED BETAMETHASONE D,methadone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NEOMYCIN/POLYMYXIN/HC,neomycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN D3,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SODIUM SULFACETAMIDE,sulfacetamide,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE,carbamazepine,HLA-A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE,carbamazepine,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE,carbamazepine,SCN1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE,carbamazepine,EPHX1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FUROSEMIDE,furosemide,ADD1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ACETAMINOPHEN/CODEINE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ACETAMINOPHEN/CODEINE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ACETAMINOPHEN/CODEINE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL SUCCINATE ER,metoprolol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL SUCCINATE ER,metoprolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL SUCCINATE ER,metoprolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL SUCCINATE ER,metoprolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL SUCCINATE ER,metoprolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NITROFURANTOIN MACROCRYST,nitrofurantoin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DEXMETHYLPHENIDATE HCL ER,methylphenidate,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NABUMETONE,nabumetone,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CELECOXIB,celecoxib,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUDESONIDE NASAL SPRAY,budesonide,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE POLACRILEX,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE POLACRILEX,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PAROXETINE HCL ER,paroxetine,HTR1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DULOXETINE HYDROCHLORIDE,duloxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DULOXETINE HYDROCHLORIDE,duloxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DULOXETINE HYDROCHLORIDE,duloxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DULOXETINE HYDROCHLORIDE,duloxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL,haloperidol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL,haloperidol,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FENTANYL,fentanyl,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FENTANYL,fentanyl,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FENTANYL,fentanyl,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ZIPRASIDONE HCL,ziprasidone,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPRENORPHINE HYDROCHLORI,buprenorphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPRENORPHINE HYDROCHLORI,buprenorphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PRENATAL VITAMINS PLUS LO,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,ADRB2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL,propranolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FOLIC ACID,aminosalicylic acid,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OMEPRAZOLE DR,omeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VENLAFAXINE HCL,venlafaxine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MY WAY,kanamycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPROPION HYDROCHLORIDE,bupropion,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AMITRIPTYLINE HCL,amitriptyline,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
AMITRIPTYLINE HCL,amitriptyline,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LAMOTRIGINE ER,lamotrigine,UGT1A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,ADRB2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LABETALOL HYDROCHLORIDE,labetalol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROMORPHONE HCL,hydromorphone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROMORPHONE HCL,hydromorphone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
IRON,spironolactone,ADD1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRIAMCINOLONE ACETONIDE D,triamcinolone,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MODAFINIL,modafinil,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL TARTRATE,metoprolol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL TARTRATE,metoprolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL TARTRATE,metoprolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL TARTRATE,metoprolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METOPROLOL TARTRATE,metoprolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DOXEPIN HYDROCHLORIDE,doxepin,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DOXEPIN HYDROCHLORIDE,doxepin,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SILVER SULFADIAZINE,sulfadiazine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TOBRAMYCIN/DEXAMETHASONE,tobramycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE/GUAIFENESIN,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE/GUAIFENESIN,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE/GUAIFENESIN,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
LIDOCAINE/PRILOCAINE,lidocaine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE ODT,olanzapine,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE ODT,olanzapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE ODT,olanzapine,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NICOTINE POLACRILEX,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NICOTINE POLACRILEX,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MECLIZINE HYDROCHLORIDE,meclizine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DEXTROAMPHETAMINE SULFATE,amphetamine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TERBINAFINE HCL,terbinafine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROXYCHLOROQUINE SULFAT,hydroxychloroquine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TACROLIMUS,tacrolimus,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TACROLIMUS,tacrolimus,CYP3A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TOBRAMYCIN SULFATE,tobramycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL DECANOATE,haloperidol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL DECANOATE,haloperidol,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SILDENAFIL CITRATE,sildenafil,GNB3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
INDOMETHACIN,indomethacin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DAPSONE,dapsone,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DAPSONE,dapsone,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MILK OF MAGNESIA,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MILK OF MAGNESIA,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCODONE POLISTIREX/CH,hydrocodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCODONE POLISTIREX/CH,hydrocodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HYDROCODONE POLISTIREX/CH,hydrocodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL LACTATE,haloperidol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
HALOPERIDOL LACTATE,haloperidol,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
IMIPRAMINE HCL,imipramine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
IMIPRAMINE HCL,imipramine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS FLUTICASONE PROPRIONA,fluticasone propionate,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MOXIFLOXACIN HYDROCHLORID,moxifloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,ADRB2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
PROPRANOLOL HCL ER,propranolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUDESONIDE,budesonide,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
