article_id,title,pubdate,pmc_id,authors,search_num,source_file,ontology_nodes,domain_primary,node_primary,ooda_phase_primary,key_phrases,comprehend_entities,rq1_score,rq2_score,n1_score,n4_score,n5_score,composite_score,include_recommended,screen_reason,human_decision
3417,"Opioids-induced inhibition of HERG ion channels and sudden cardiac death, a systematic review of current literature.",2024,HSHa1b5b21f,"El Sherbini, Liblik, Lee, Baranchuk, Zhang, El-Diasty",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,herg ion channels; sudden cardiac death; current literature; herg; opioids-induced inhibition,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3419,"Take-Home Naloxone and risk management from the perspective of people who survived an opioid overdose in Stockholm - An analysis informed by drug, set and setting.",2023,HSHa1b5b21f,"Holmén, Hammarberg, Kåberg, Storbjörk",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,people; stockholm; naloxone; drug; home,,0.0,0.1429,0.0,0.0,0.0,0.1429,include,score=0.143,
3426,Opioid use disorder in the active service: Implications for intervention.,2023,HSHa1b5b21f,"Moore, Vincent, Schlenk, McNamara",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,disorder; implications; intervention; the active service,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3435,The importance of social risk factors for patients diagnosed with opioid use disorder.,2023,HSHa1b5b21f,"Arsene, Na, Patel, Vaidya, Williamson, Singh",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,social risk factors; opioid use; patients; disorder; the importance,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3436,"A scoping review of mHealth technologies for opioid overdose prevention, detection and response.",2023,HSHa1b5b21f,"Tas, Lawn, Traykova, Evans, Murvai, Walker, Strang",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,opioid overdose prevention; mhealth technologies; detection; response; a scoping review,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3462,Preexisting mental health disorders and risk of opioid use disorder in young people: A case-control study.,2023,HSHa1b5b21f,"Marshall, Olson, Youngson, Abba-Aji, Li, Vohra, Lewanczuk",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,mental health disorders; young people; disorder; risk,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3464,The Opioid Risk Tool Correlates With Increased Postsurgical Opioid Use Among Patients With Orthopedic Trauma.,2023,HSHa1b5b21f,"Perry, Stoll, Allen, Hahn, Ostrum",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,increased postsurgical opioid use; orthopedic trauma; patients; the opioid risk tool,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3476,Differences in the Clinical Outcome of Ischemic and Nonischemic Cardiomyopathy in Heart Failure With Concomitant Opioid Use Disorder.,2023,HSHa1b5b21f,"Gharbin, Winful, Hassan, Bajaj, Batta, Alebna, Rhodd, Taha, Fatima, Mehrotra",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,concomitant opioid use disorder; heart failure; nonischemic cardiomyopathy; ischemic; differences,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3489,Responsible and safe use of opioids in children and adolescents in the emergency department.,2023,HSHa1b5b21f,"Ali, Drendel",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,children; opioids; adolescents; responsible and safe use; the emergency department,,0.05,0.0476,0.0,0.0,0.0,0.05,include,score=0.050,
3494,Factors Associated with Non-Evidence-Based Overdose Responses among People Who Use Prescription Opioids Non-Medically in Rural Appalachia.,2023,HSHa1b5b21f,"Macmadu, Gurka, Linn, Smith, Feinberg",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,-; non-evidence-based overdose responses; prescription opioids; non; rural appalachia,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3497,Effect of discharge opioid on persistent postoperative opioid use: a retrospective cohort study comparing tapentadol with oxycodone.,2023,HSHa1b5b21f,"Lam, Xia, Biggs, Treloar, Cheng, Kabu, Stevens, Evans, da Gama, Lubman, Nielsen",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,persistent postoperative opioid use; a retrospective cohort study; discharge; tapentadol; effect,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3499,Key implementation factors in telemedicine-delivered medications for opioid use disorder: a scoping review informed by normalisation process theory.,2023,HSHa1b5b21f,"Teck, Zlatkute, Perez, Dritschel, Ghosh, Potenza, Ambekar, Ekhtiari, Stein, Khazaal, Arunogiri, Torrens, Ferri, Galea-Singer, Baldacchino",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,opioid use disorder; key implementation factors; normalisation process theory; telemedicine-delivered medications; a scoping review,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3508,"Relationships between places of residence, injury, and death: Spatial and statistical analysis of fatal opioid overdoses across Massachusetts.",2022,HSHa1b5b21f,"Pustz, Srinivasan, Larochelle, Walley, Stopka",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,fatal opioid overdoses; injury; death; residence; spatial and statistical analysis,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
3540,Systematic Review and Meta-Analysis of the Prevalence of Chronic Pain Among Patients With Opioid Use Disorder and Receiving Opioid Substitution Therapy.,2023,HSHa1b5b21f,"Delorme, Kerckhove, Authier, Pereira, Bertin, Chenaf",11,data/chapter1/1.2_clinical_background/opioid_disorder/opioid_disorder_articles.csv,clinical_outcomes::opioid_ed,clinical_outcomes,opioid_ed,act,opioid use disorder; use disorder; chronic pain; opioid substitution therapy; systematic review,,0.0,0.0952,0.0,0.0,0.0,0.0952,include,score=0.095,
