title,pubdate,pmc_id,authors
A pharmacovigilance study based on the FAERS database focusing on anticoagulant and hormonal drugs that induce vaginal hemorrhage.,2025,NA,"Li, Hu, Qian"
A pharmacovigilance study of Bruton's tyrosine kinase inhibitors: a multidimensional analysis based on FAERS and VigiBase.,2025,PMC12685910,"Qu, Jia, Liu, Li, Zhao, Wu, Fan, Lou"
A pharmacovigilance study of FDA adverse events for sugammadex.,2024,NA,"Mao, Zhang, Liang, Liu, Dai, Wang, Huang, Fu"
A pharmacovigilance study of adverse event profiles and haemorrhagic safety of bevacizumab based on the FAERS database.,2024,NA,"Tang, Ding, Li, Yin, Zhang, Liu, Ji, Li"
A pharmacovigilance study of adverse events associated with polycythemia vera treatments using the FDA Adverse Event Reporting System (FAERS) database.,2025,PMC12334515,"Reeves, Masarova, Abu-Zeinah, Hunter, Shatzel, Qin, Yoon, Cai, Wei, Mesa"
A pharmacovigilance study of adverse events associated with polymyxins based on the U.S. Food and Drug Administration Adverse Event Reporting System (FAERS) database.,2025,NA,"Wu, Shi, Xu, Zhu, Li, Li, Zhao, Zhang"
A pharmacovigilance study of association between proton pump inhibitor and dementia event based on FDA adverse event reporting system data.,2021,PMC8139970,"Wu, Hu, Tian, Wu, Li, Xu"
A pharmacovigilance study of association between proton-pump inhibitors and rhabdomyolysis event based on FAERS database.,2024,NA,"Sun, Zhang, Zuo, Chen, Zhu"
A pharmacovigilance study of chronic kidney disease in diabetes mellitus patients with statin treatment by using the US Food and Drug Administration adverse event reporting system.,2024,PMC11224537,"Zhang, Guo, Wei, Yan, Shan, Wu, Wu"
A pharmacovigilance study of daptomycin use in infants under 1 year old based on the FDA adverse event reporting system.,2025,PMC12627487,"Ye, Guo, Zhou, Chen, Fan, Zhang"
A pharmacovigilance study of drug-reduced male semen quality based on the Food and Drug Administration adverse event reporting system database.,2025,NA,"Tan, Luo, Li, Lan, Chen, Huang, Yang, Xi"
"A pharmacovigilance study of etoposide in the FDA adverse event reporting system (FAERS) database, what does the real world say?",2023,PMC10637489,"Cui, Cheng, Wang, Zou, Pan, Tian, Zhang, She, Zhang, Yang"
A pharmacovigilance study of olanzapine/samidorphan based on FDA Adverse Event Reporting System (FAERS).,2025,PMC11843756,"He, Shen, Zhang, Li, Li"
A pharmacovigilance study of pharmacokinetic drug interactions using a translational informatics discovery approach.,2022,PMC12167830,"Wang, Shendre, Chiang, Cao, Ning, Zhang, Zhang, Li"
A pharmacovigilance study of the association between antipsychotic drugs and venous thromboembolism based on Food and Drug Administration Adverse Event Reporting System data.,2024,NA,"Yan, Wang, Yuan, Xu, Chen, Wu"
A pharmacovigilance study of the association between linaclotide/plecanatide and muscle spasms based on food and drug administration adverse event reporting system.,2025,PMC12364702,"Fan, Li, Lin"
A pharmacovigilance study of the association between proton pump inhibitors and tumor adverse events based on the FDA adverse event reporting system database.,2024,PMC11694325,"Zhang, Duan, Tian, Wang, Wei"
A pharmacovigilance study of the association between tetracyclines and hepatotoxicity based on Food and Drug Administration adverse event reporting system data.,2022,PMC4783956,"Wei, Liu, Jiang, Wu"
A pharmacovigilance study of thromboembolism events associated with vascular endothelial growth factor receptor tyrosine kinase inhibitors based on FAERS database.,2025,PMC12254217,"Tang, Song, Pan, Zhang, Li, Li, Chen, Wang"
A pharmacovigilance study of vortioxetine based on data from the FDA adverse event reporting system.,2025,PMC12332032,"Liu, Xia, Long, Han, Xiong"
A pharmacovigilance study on antibody-drug conjugate (ADC)-related neurotoxicity based on the FDA adverse event reporting system (FAERS).,2024,PMC10879374,"Tang, Sun, Liu, Wu, Ding"
A pharmacovigilance study on drug-induced liver injury associated with antibody-drug conjugates (ADCs) based on the food and drug administration adverse event reporting system.,2024,NA,"Sun, Yang, Tang, Chen"
A pharmacovigilance study on probiotic preparations based on the FDA Adverse Event Reporting System from 2005 to 2023.,2025,PMC12106448,"Wang, Tan, Li, Yang, Wang, Liao, Lu, Zhang, Chen, Yang, Li"
A pharmacovigilance study on the safety of faricimab in real-world scenario using FDA adverse event reporting system database.,2025,NA,"Han, Li, Tao, Wang"
A pharmacovigilance study to quantify the strength of association between the combination of antimalarial drugs and azithromycin and cardiac arrhythmias: implications for the treatment of COVID-19.,2021,PMC7738207,"Diaby, Almutairi, Chen, Moussa, Berthe"
A post-marketing pharmacovigilance study of avapritinib: Adverse event data mining and analysis based on the United States Food and Drug Administration Adverse Event Reporting System database.,2024,NA,"Rong, Xie, Jiang, Qiu, Kong"
A post-marketing pharmacovigilance study of triazole antifungals: adverse event data mining and analysis based on the FDA adverse event reporting system database.,2025,PMC11799232,"Tian, Jin, Ning"
A real-world Pharmacovigilance study of brodalumab based on the FDA adverse event reporting system.,2025,PMC11742032,"He, Zhao, Yin, Liu, Liu, Du, Liu, Cheng, Zhang, Zheng"
A real-world analysis of Lomitapide-associated adverse events: Data from FAERS and CVAROD.,2025,PMC12643635,"Liu, Zheng, Chen, Liu, Li, Wang"
A real-world analysis of adverse event signals of cognitive and communication disorder in patients treated with Janus kinase inhibitors based on the FAERS database.,2025,NA,"Lin, Cheng, Chen, Chen, Shen"
A real-world data analysis of montelukast in FDA Adverse Event Reporting System (FAERS) database.,2025,PMC12220754,"Huang, Chen, Du, Gao, Ye, Lin"
