title,pubdate,pmc_id,authors
Implementation and integration of a multidisciplinary pharmacogenomics service in an underserved integrated behavioral health clinic.,2025,PMC12142042,"Alghamdi, Rogers, Roberman, Williamson, Panahi"
Implementing pharmacogenetic testing to optimize proton-pump inhibitors use among Indian population based on CPIC-CYP2C19-PPI dosing guidelines: The need of the hour.,2024,PMC11483053,"Chenchula, Atal, Jhaj, Uppugunduri"
In-silico approaches to assessing multiple high-level drug-drug and drug-disease adverse drug effects.,2024,NA,"Xu, Riviere, Raza, Millagaha Gedara, Ampadi Ramachandran, Tell, Wyckoff, Jaberi-Douraki"
Inaugural Pharmacogenomics Access and Reimbursement Symposium.,2021,NA,"Rogers, Patrinos, Mitropoulou, Formea, Jones, Brown"
Integrating pharmacogenetics in sport medicine: enhancing treatment precision and preventing unintentional doping violation.,2025,NA,"Drevin, Briet, Abbara"
Interest and limits of using pharmacogenetics in MDMA-related fatalities: A case report.,2025,NA,"Drevin, Hahn, Picard, Baudriller, Renard, Malbranque, Jousset, Briet, Abbara"
Linezolid and serotonin syndrome.,2025,PMC12059600,Wali
Lipid-lowering and antihypertensive drugs on aortic disease risk: insights from Mendelian randomization analysis and real-world pharmacovigilance data.,2025,PMC12063591,"Nie, Zhao, Wang, Zhou"
"Mediation and longitudinal analysis to interpret the association between clozapine pharmacokinetics, pharmacogenomics, and absolute neutrophil count.",2023,PMC10585000,"Lock, Legge, Kappel, Willcocks, Helthuis, Jansen, Walters, Owen, O'Donovan, Pardiñas"
NAT2 Acetylation Status Predicts Hepatotoxicity During Antituberculosis Therapy: Cumulative Risk Analysis of a Multiethnic Cohort.,2025,PMC12027989,"Schiuma, Dinegro, Battini, Torre, Covizzi, Civati, Galimberti, Mariani, Mosini, Carnovale, Riva, Gori, Antinori, Clementi, Radice, Cheli"
Navigating Recent Changes in Dosing Information: Dynamics of FDA-Approved Monoclonal Antibodies in Post-Marketing Realities.,2025,PMC11729449,"Lee, Rhee, Koo, Kim, Lee, Yie, Kim"
Navigating duplication in pharmacovigilance databases: a scoping review.,2024,PMC11086478,"Kiguba, Isabirye, Mayengo, Owiny, Tregunno, Harrison, Pirmohamed, Ndagije"
Neurological Manifestations Related to Immune Checkpoint Inhibitors: Reverse Translational Research by Using the European Real-World Safety Data.,2022,PMC8964934,"Ruggiero, Stelitano, Fraenza, di Mauro, Scavone, Sportiello, Rafaniello, Di Napoli, Danesi, Del Re, Rossi, Capuano"
"Non-steroidal anti-inflammatory drug target gene associations with major depressive disorders: a Mendelian randomisation study integrating GWAS, eQTL and mQTL Data.",2023,PMC10382318,"He, Wu, Bennett, Fan, Liu, Huang, Kong, Tian, Kwok, Chan"
PD-1/PD-L1 inhibitor-induced immune thrombocytopenia: A pharmacovigilance study and systematic review.,2024,NA,"Moore, Elmes, Arnall, Strassel, Patel"
Pharmacogenetic Drug Administration and Community Health: A Cross-Sectional Telecommunication-Based Study.,2025,NA,"Anfinogenova, Stepanov, Kuznetsova, Chesalov, Popov, Repin"
"Pharmacogenetic considerations in the treatment of co-infections with HIV/AIDS, tuberculosis and malaria in Congolese populations of Central Africa.",2021,NA,"Pallerla, Elion Assiana, Linh, Cho, Meyer, Fagbemi, Adegnika, Beng, Achidi, Kahunu, Bates, Grobusch, Kremsner, Ntoumi, Velavan"
Pharmacogenetics and adverse drug reports: Insights from a United Kingdom national pharmacovigilance database.,2025,PMC11949333,"Magavern, Megase, Thompson, Marengo, Jacobsen, Smedley, Caulfield"
Pharmacogenetics in Oncology: A useful tool for individualizing drug therapy.,2024,NA,"Nogueiras-Álvarez, Pérez Francisco"
Pharmacogenetics of metamizole-induced agranulocytosis: a systematic review and drug regulation implications.,2025,PMC12504837,"Fidelis, Dagli-Hernandez, Martinelli, Marzuki, Baharuddin, Yue, Edwards, Pincinato, Moriel"
"Pharmacogenomics of 3,4-Methylenedioxymethamphetamine (MDMA): A Narrative Review of the Literature.",2024,PMC11359928,"Drevin, Pena-Martin, Bauduin, Baudriller, Briet, Abbara"
Pharmacological countermeasures for long-duration space missions: addressing cardiovascular challenges and advancing space-adapted healthcare.,2025,NA,"Derobertmasure, Toh, Wotring, Williams, Morbidelli, Stingl, Vinken, Ramadan, Chhun, Boutouyrie"
Pharmacovigilance study and genetic target prediction analysis of FDA adverse event reports (FAERS) for drug-induced sinusitis.,2025,NA,"Wang, Sun, Zhao, Cao"
Pitfalls and challenges associated with phenoconversion in forensic toxcicology.,2021,NA,"Drevin, Picard, Jousset, Briet, Abbara"
Posttransplantation diabetes mellitus (PTDM): pharmacological aspects and genetic predispositions.,2024,PMC11901360,"Chastagner, Arnion, Danthu, Touré, Picard"
