title,authors,pubdate,pmc_id
Pharmacogenetic Testing in a 70-Year-Old Woman with Polypharmacy and Multiple Comorbidities: A Case Report.,"Jessop, Russell, DeJesus, Bardolia, Hanna, Turgeon, Michaud, Amin",2023,PMC9969360
Medication Profiles at Hospital Discharge Predict Poor Outcomes After Acute Ischemic Stroke.,"Barra, Giulietti, DiCarlo, Erler, Krenz, Roberts, Lin",2024,HSH1fbb06ad
Polypharmacy among medicaid-insured children with and without documented obesity.,"Kyler, Hall, Antoon, Goldman, Grijalva, Shah, Tang Girdwood, Williams, Feinstein",2023,PMC10287842
Treating and Managing Laryngopharyngeal Reflux Disease in the Over 65s: Evidence to Date.,Lechien,2022,PMC9675328
[Polypragmasia and interdrug interactions as risk factors of falling in elderly patients.].,"Ilyina, Shalygin, Bogova, Potapov, Bolotokova, Savelyeva, Sinitsina, Doskina, Sychev",2022,HSH1fbb06ad
Polypharmacy in Nursing Homes.,"Roh, Cota, Lee, Madievsky, Eskildsen",2022,HSH1fbb06ad
Medication risks in older patients (70 +) with cancer and their association with therapy-related toxicity.,"Ortland, Mendel Ott, Kowar, Sippel, Ko, Jacobs, Jaehde",2022,PMC9429305
Patient concerns regarding antidepressant drug&#x2013;drug interactions: a retrospective analysis using data from a medicines call centre.,"Poon, Lim, Hollingworth, van Driel, Pache, Moses, McGuire",2022,HSH1fbb06ad
Comorbidity and comedication burden among people living with HIV in the United States.,"Paudel, Prajapati, Buysman, Goswami, Mao, McNiff, Kumar",2022,HSH1fbb06ad
Cutaneous Ulcer Caused by Apixaban Treatment Is Resolved after Replacement with Dabigatran.,"Medoro, Passarella, Mignogna, Porcile, Foderà, Intrieri, Raimo, La Floresta, Russo, Martucci",2022,PMC9146744
Drug-Related Problems and Polypharmacy in Nursing Home Residents: A Cross-Sectional Study.,"Díez, Cadenas, Susperregui, Sahagún, Fernández, García, Sierra, López",2022,PMC8998432
Mitigating the Risk of Adverse Effects Related to Augmentation Therapy for Resistant Major Depressive Disorder: A Case Report.,"Amundson, Knight, Ybarra, Turgeon, Bingham",2022,PMC8953614
Drug Treatment of Hypercholesterolemia in Older Adults: Focus on Newer Agents.,"Stoll, Eidam, Michael, Bauer, Haefeli",2022,PMC8995260
Polypharmacy in older adults with cancer undergoing radiotherapy: A review.,"Novak, Goldberg, Dharmarajan, Amini, Maggiore, Presley, Nightingale",2022,PMC9283217
Concurrent Use of Prescription Opioids and Gabapentinoids in Older Adults.,"Chen, Lo-Ciganic, Winterstein, Tighe, Wei",2022,PMC9426287
Prevalence of potentially harmful multidrug interactions on medication lists of elderly ambulatory patients.,"Anand, Wallace, Chase",2021,PMC8603594
Prevalence of drug-drug interactions in older people before and after hospital admission: analysis from the OPERAM trial.,"Zerah, Henrard, Wilting, O'Mahony, Rodondi, Dalleur, Dalton, Knol, Haschke, Spinewine",2021,PMC8524798
"Older Age, Polypharmacy, and Low Systolic Blood Pressure Are Associated With More Hypotension-Related Adverse Events in Patients With Type 2 Diabetes Treated With Antihypertensives.","Ambrož, de Vries, Hoogenberg, Denig",2021,PMC8497792
Clinical Safety Considerations of Integrase Strand Transfer Inhibitors in the Older Population Living with HIV.,"Vider, Gavioli",2021,PMC5653300
"Clinical characteristics and outcomes of polypharmacy in chronic obstructive pulmonary disease patients: A cross-sectional study from Crete, Greece.","Ierodiakonou, Theodorou, Sifaki-Pistolla, Bouloukaki, Antonopoulou, Poulorinakis, Tsakountakis, Voltiraki, Chliveros, Tsiligianni",2021,HSH1fbb06ad
Spontaneous retroperitoneal haemorrhage secondary to anticoagulation polypharmacy.,"Uddin, Mir, Khalil, Bhat, Noronha",2021,PMC8375756
Risk of fall-related injury and all-cause hospitalization of select concomitant central nervous system medication prescribing in older adult persistent opioid users: A case-time-control analysis.,"Moran, Calip, Lee, Koronkowski, Lau, Schumock",2021,HSH1fbb06ad
"Toward the development of a vibrant, super-aged society: The future of medicine and society in Japan.","Iijima, Arai, Akishita, Endo, Ogasawara, Kashihara, Hayashi, Yumura, Yokode, Ouchi",2021,HSH1fbb06ad
Relationship of polypharmacy to HIV RNA suppression in people aged ≥ 50 years living with HIV.,"Murray, Lin, Buros Stein, Wilcox, Cottreau, Postelnick, Palella",2021,HSH1fbb06ad
Safety and potential interaction of immunosuppressive drugs for the treatment of inflammatory bowel disease in elderly patients.,"Ingrasciotta, Grova, Crispino, Isgrò, Calapai, Macaluso, Mattace-Raso, Trifirò, Orlando",2024,HSH1fbb06ad
Predictive ability of a drug-based score in patients with advanced non-small-cell lung cancer receiving first-line immunotherapy.,"Buti, Bersanelli, Perrone, Bracarda, Di Maio, Giusti, Nigro, Cortinovis, Aerts, Guaitoli, Barbieri, Ferrara, Bria, Grossi, Bareggi, Berardi, Torniai, Cantini, Sforza, Genova, Chiari, Rocco, Della Gravara, Gori, De Tursi, Di Marino, Mansueto, Zoratto, Filetti, Citarella, Russano, Mazzoni, Garassino, De Toma, Signorelli, Gelibter, Siringo, Follador, Bisonni, Tuzi, Minuti, Landi, Ricciardi, Migliorino, Tabbò, Olmetto, Metro, Adamo, Russo, Spinelli, Banna, Addeo, Friedlaender, Cannita, Porzio, Ficorella, Carmisciano, Pinato, Mazzaschi, Tiseo, Cortellini",2021,HSH1fbb06ad
