feature,importance_normalized,importance_scaled
item_86140,0.14325410630475113,0.031190325872716272
item_ALLEGRA ALLERGY CHILDRENS,0.14314819616370134,0.03116726634655134
item_K5900,0.14309500301142603,0.03115568474657867
item_F801,0.14307627613316662,0.03115160739444855
item_J0190,0.1430557861782851,0.031147146172453895
item_90696,0.1430134430823332,0.03113792692565346
item_94760,0.14296822053368333,0.031128080743470146
item_H0035,0.1429602114701815,0.031126336951916793
item_J101,0.14294400214323708,0.031122807739368437
item_R0781,0.14294399184178966,0.031122805496462385
item_J050,0.14292595507428707,0.031118878400265233
item_Unknown,0.14292117712756028,0.03111783811095517
item_R1110,0.14287219432868023,0.03110717321974447
item_B354,0.14283615057078133,0.031099325510638303
item_80061,0.14281127409351074,0.031093909223087114
item_SULFAMETHOXAZOLE/TRIMETHO,0.14271918500975142,0.031073858918032243
item_PROAIR HFA,0.14267742943681577,0.0310647675910158
item_90713,0.1426552321036356,0.03105993462620066
item_J1100,0.1426464975877061,0.031058032883868738
item_H66002,0.1426255946404844,0.031053481742178198
item_NEOMYCIN/POLYMYXIN/HYDROC,0.1425960622858037,0.031047051743136354
item_90710,0.1425932250261328,0.03104643399432619
item_F4325,0.14251684131118297,0.031029803176389387
item_81001,0.1425163260008891,0.031029690979284492
item_R21,0.1425048026740818,0.031027182036765993
item_R112,0.14249848174083737,0.031025805797209594
item_CEPHALEXIN,0.14242607865730075,0.03101004167129412
item_90685,0.1424069480276466,0.031005876411473968
item_90744,0.14238679571860732,0.031001488704187688
item_90649,0.14234414047827146,0.030992201495041834
item_A084,0.1422857828974715,0.0309794954581313
item_90700,0.1422634339033645,0.03097462947259618
item_J0300,0.14225310865712906,0.030972381384893104
item_83520,0.14221936725632156,0.030965034961717288
item_R109,0.14220087163940875,0.030961007961489453
item_73140,0.1421812914205315,0.030956744813833908
item_84439,0.1421633425201995,0.030952836848716164
item_HYDROXYZINE HCL,0.14215153501036215,0.03095026603180158
item_ERYTHROMYCIN,0.1421155174592519,0.03094242402862803
item_90688,0.14210768858922854,0.030940719470109308
item_K529,0.14210688722813009,0.030940544991942872
item_POLYETHYLENE GLYCOL 3350,0.1421064439504463,0.03094044847830172
item_90834,0.14210375104303866,0.030939862158916146
item_80051,0.14206437166696329,0.030931288194761555
item_73590,0.1420560043983492,0.03092946641218603
item_F39,0.1419871823153795,0.030914481967757628
item_92552,0.1419645655781265,0.030909557687237545
item_82565,0.14193538780177503,0.030903204889568294
