title,authors,pubdate,pmc_id
Comprehensive Review of Open-Source Fundus Image Databases for Diabetic Retinopathy Diagnosis.,"Conquer, Lambolais, Andrade-Miranda, Magnier",2025,PMC12473202
Synergy of Information in Multimodal Internet of Things Systems-Discovering the Impact of Daily Behaviour Routines on Physical Activity Level.,"Shirali, Ahmadi, Bayo-Monton, Valero-Ramon, Fernandez-Llatas",2025,PMC12473210
Measuring and visualizing healthcare process variability.,"Yin, Cervantes, Capurro",2025,HSHec106a96
Extracting language information from clinical notes using large language models.,"Qian, Hong, Zhou, Xie, Weng, Chairuengjitjaras, Du, Lian, Marshall, Blackley, Novoa-Laurentiev, Quiroz, Kim, Adams, Dossett, Zhou, Xu",2026,PMC12490899
"Understanding Cancer Survivorship Care Needs Using Amazon Reviews: Content Analysis, Algorithm Development, and Validation Study.","Wang, Lu, Li, Harrison, Jia, Huang, Dowst, Zhang, Badr, Fan, Liu",2025,PMC12456872
Development of an Artificial Intelligence Powered Medication Risk Score Calculator Application.,"Bertalan, Angyal, Domján, Sædder, Király, Erdélyi, Gyimesi, Dinya",2025,PMC12451093
Large language models for extracting histopathologic diagnoses of colorectal cancer and dysplasia from electronic health records.,"Johnson, Bath, Huang, Lamm, Earles, Eddington, Dornisch, Jih, Gupta, Shah, Curtius",2025,PMC12458811
Identifying and Characterising a Chronic Kidney Disease Electronic-Phenotype Using Electronic Health Record-Derived Data: A Narrative Review of Strategies and Applications.,"Sparks, Steinberg, Toussaint",2025,PMC12432484
Embedding FHIR in Medical PDF: A Migration Path for Interoperable Documentation.,"Bienzeisler, Kombeiz, Heidemeyer, Hertwig, Erdmann, Pegoraro, Ehrentreich, Eder, Mosebach, Rashid, Majeed",2025,HSHec106a96
Symptoms affecting the development of diabetes: analysis of risk factors with data mining.,"Aglarci, Karakurt",2025,PMC12392476
Transforming Patient Feedback Into Actionable Insights Through Natural Language Processing: Knowledge Discovery and Action Research Study.,"Shankar, Yip",2025,PMC12381215
Social Media Insights Into Disease Burden in Patients and Caregivers of Myelodysplastic Syndrome: Subcohort Analysis of High-Risk Patients.,"Marwah, Mishra, Gross, Couturiaux, Calara, Sabate Estrella, Hogea",2025,PMC12371600
Analysis of the causes of improper medical decision-making in medical damage liability disputes in China: a text mining approach.,"Xu, Lyu, Zhang, Liu",2025,PMC12366084
Process mining in healthcare: a tertiary study.,"Santos, Leal, Balancieri",2025,PMC12355893
The Use of Natural Language Processing to Interpret Unstructured Patient Feedback on Health Services: Scoping Review.,"Feizollah, Lin, O'Malley, Thompson, Listl, Byrne",2025,PMC12352804
Applying text-mining to clinical notes: the identification of patient characteristics from electronic health records (EHRs).,"Ten Hoope, Welvaars, van Geijtenbeek, Klok-Everaars, van Schaik, Karapinar-Çarkit",2025,PMC12344823
Zero-Shot Clinical Data Extraction from Pathology Reports Using Llama 3.1.,"Park, Choi, Choi",2025,HSHec106a96
Establishing a Protocol for EHR Data Extraction Using the WHO SMART Guidelines: A Tertiary Medical Center Experience in the Philippines.,"Herber, Santos",2025,HSHec106a96
Issues Involved in Extracting Data from Maternal and Fetal Electronic Medical Records for Clinical Research in Japan.,"Iizuka, Ohashi, Ogawa, Kakogawa, Masamune",2025,HSHec106a96
A Hybrid Natural Language Processing Platform for Multi-Site RWD Studies.,"Sugimoto, Matsumura, Wada, Konishi, Okada, Takeda",2025,HSHec106a96
A Performance-Based Voting Framework for Assertion Detection in Clinical Notes.,"Eslami, Dligach, Strickland, Azarvash, Tootooni",2025,HSHec106a96
From Text to Knowledge: An End-To-End Extraction Pipeline for Clinical Information.,"Macedo, Wiedekopf, Hillmer, Schreiweis, Saalfeld, Ulrich",2025,HSHec106a96
Beyond GPT-NER: ChatGPT as Ensemble Arbitrator for Discontinuous Named Entity Recognition in Health Corpora.,"Chen, Lin",2025,HSHec106a96
"The Best of All Worlds: A Hybrid Approach to Cohort Identification with Rules, Small and Large Language Models.","Gan, Shi, Bowles, Hanchrow, Stanley, Hu, Duvall, Alba",2025,HSHec106a96
Optimizing Entity Recognition in Psychiatric Treatment Data with Large Language Models.,"Hosseini, Momeni Nezhad, Hosseini, Zolnoori",2025,HSHec106a96
EvidenceOutcomes: A Dataset of Clinical Trial Publications with Clinically Meaningful Outcomes.,"Zhou, Newbury, Zhang, Idnay, Liu, Weng, Peng",2025,PMC12976956
Pilot Application of a Large Language Model to Identify Hospitalisation from Unstructured Electronic Health Records in Residential Aged Care Facilities.,"Suddle, Yu, Vithanage, Deng",2025,HSHec106a96
Evaluating Large Language Models for Analysing Safety Risks in Healthcare Incident Reports.,"Denecke, Paula",2025,HSHec106a96
Extracting Pharmaceutical Safety Information from Nursing Records: Utilizing ChatGPT for Data Categorization.,"Wakabayashi, Seto",2025,HSHec106a96
"The Rights of People With Disabilities in Policy Development Comment on ""How Did Governments Address the Needs of People With Disabilities During the COVID-19 Pandemic? An Analysis of 14 Countries' Policies Based on the UN Convention on the Rights of Persons With Disabilities"".",Camargo,2025,PMC12032233
MMRAG: multi-mode retrieval-augmented generation with large language models for biomedical in-context learning.,"Zhan, Wang, Zhou, Deng, Zhang",2025,PMC12451925
A computational eye state classification model using EEG signal based on data mining techniques: comparative analysis.,"Mondal, Nag",2025,PMC6121271
In patients' words: natural language processing of reports from patients experiencing orofacial pain and dysfunction.,"Ettlin, Wolf, Biller-Andorno, Schneider",2025,PMC12312499
A foundation model for human-AI collaboration in medical literature mining.,"Wang, Cao, Jin, Chan, Wan, Afzali, Cho, Choi, Emamverdi, Gill, Kim, Li, Liu, Ong, Rousseau, Sheikh, Wei, Xu, Zallek, Kim, Peng, Lu, Sun",2025,PMC12306811
The Impact of Perceived Quality on Patients' Adoption and Usage of Online Health Consultations: An Empirical Study Based on Trust Theory.,"Zhu, Zhou, Xu",2025,PMC12295743
Semantic classification of Indonesian consumer health questions.,"Hanami, Mahendra, Wicaksono",2025,PMC12302743
Natural language processing in medical text processing: A scoping literature review.,"Elvas, Almeida, Ferreira",2025,HSHec106a96
Computational Simulation of Respiration-Induced Deformation of Renal Arteries After EVAR.,"Corvo, Avril, Aliseda, Haulon, Chassagne",2025,PMC12575501
AI-powered smart emergency services support for 9-1-1 call handlers using textual features and SVM model for digital health optimization.,"Attiah, Kalkatawi",2025,PMC12277377
Distribution Survey of Individual Transactions for Pharmaceutical Products via X (Formerly Twitter).,"Zhang, Yoshida",2025,HSHec106a96
"From mold to mill: StachCel5, a novel thermoalkaliphilic endoglucanase from Stachybotrys chartarum for pulp fiber biorefining.","Ferrando, Lliso-Pascual, Cusola, Roncero, Planas, Picart",2025,HSHec106a96
Prediction of Metastasis in Paragangliomas and Pheochromocytomas Using Machine Learning Models: Explainability Challenges.,"García-Barceló, Gil, Tomás, Bernabeu",2025,PMC12252517
A Joint Multimodal User Authentication-based Privacy Preservation with Disease Prediction Framework in Modern Healthcare System Using Multi-Scale Cross Attention-based ResNet.,"Anita, K, Joselin Jeya Sheela",2025,HSHec106a96
Developing a Framework for Online Review-Based Health Care Service Quality Assessment: Text-Mining Study.,"Zhang, Sun, Li, Liu, Li",2025,PMC12266612
Fine-tuning of language models for automated structuring of medical exam reports to improve patient screening and analysis.,"Elvas, Santos, Ferreira",2025,PMC12227585
From text to data: Open-source large language models in extracting cancer related medical attributes from German pathology reports.,"Bartels, Carus",2025,HSHec106a96
Application of Large Language Models in Traditional Chinese Medicine: A State-of-the-Art Review.,"Shataer, Cao, Liu, Aierken, Bhattacharya, Sinha, Liu",2025,HSHec106a96
Open-Source Hybrid Large Language Model Integrated System for Extraction of Breast Cancer Treatment Pathway From Free-Text Clinical Notes.,"Tariq, Sikha, Kurian, Ward, Keegan, Rubin, Banerjee",2025,PMC12208650
Leveraging big electronic data to identify oral care disparities in individuals with serious mental illness.,"Singhal, Jia, Gao, York, Gold-Rosenbach, Ginu, Arya, Patel",2025,HSHec106a96
SSMT-PANBERT: A single-stage multitask model for phenotype extraction and assertion negation detection in unstructured clinical text.,"Zekaoui, Rhanoui, Yousfi, Mikram",2025,HSHec106a96
The development and use of data warehousing in clinical settings: a scoping review.,"Lyu, Craig, O'Reilly, Taniar",2025,PMC12176853
A declarative approach for interactive process discovery in the clinical domain.,"Fernández-Llatas, Martínez-Salvador, Marcos",2025,HSHec106a96
Extending CARDIO:DE: Additional annotation guidelines and evaluation of NLP approaches for clinical applications.,"Becker, Krumscheid, Knobelspies, Seydel, Richter-Pechanski, Karl",2025,HSHec106a96
Detecting the clinical features of difficult-to-treat depression using synthetic data from large language models.,"Lorge, Joyce, Taylor, Nevado-Holgado, Cipriani, Kormilitzin",2025,HSHec106a96
