title,pubdate,pmc_id,authors
Genomic characterisation of emerging Enterococcus faecium vanA types from 2013 to 2020 in an Australian public hospital.,2025,NA,"O'Toole, Covalciuc, Cooke, Thilliez, Finlay, Leong, Farthing, van Hal"
Genomic epidemiology of COVID-19 in care homes in the east of England.,2021,PMC7997667,"Hamilton, Tonkin-Hill, Smith, Aggarwal, Houldcroft, Warne, Meredith, Hosmillo, Jahun, Curran, Parmar, Caller, Caddy, Khokhar, Yakovleva, Hall, Feltwell, Pinckert, Georgana, Chaudhry, Brown, Gonçalves, Amato, Harrison, Brown, Beale, Spencer Chapman, Jackson, Johnston, Alderton, Sillitoe, Langford, Dougan, Peacock, Kwiatowski, Goodfellow, Torok"
"Genomic epidemiology reveals multiple introductions of SARS-CoV-2 followed by community and nosocomial spread, Germany, February to May 2020.",2021,PMC8555370,"Muenchhoff, Graf, Krebs, Quartucci, Hasmann, Hellmuth, Scherer, Osterman, Boehm, Mandel, Becker-Pennrich, Zoller, Stubbe, Munker, Munker, Milger, Gapp, Schneider, Ruhle, Jocham, Nicolai, Pekayvaz, Weinberger, Mairhofer, Khatamzas, Hofmann, Spaeth, Bender, Kääb, Zwissler, Mayerle, Behr, von Bergwelt-Baildon, Reincke, Grabein, Hinske, Blum, Keppler"
Genomic reconstruction of an azole-resistant Candida parapsilosis outbreak and the creation of a multi-locus sequence typing scheme: a retrospective observational and genomic epidemiology study.,2025,NA,"Brassington, Klefisch, Graf, Pfüller, Kurzai, Walther, Barber"
Genomic study substantiates the intensive care unit as a reservoir for carbapenem-resistant Klebsiella pneumoniae in a teaching hospital in China.,2024,PMC11541224,"Jiang, Ma, Cao, Mo, Jin, Yu, Chu, Hu"
"Global emergence and transmission dynamics of carbapenemase-producing Citrobacter freundii sequence type 22 high-risk international clone: a retrospective, genomic, epidemiological study.",2025,NA,"Wang, Zhou, Chen, Yao, Sun, Peng, Gao, Feil, Yu, Wang, Li, Li"
Human subcutaneous and visceral adipocyte atlases uncover classical and nonclassical adipocytes and depot-specific patterns.,2025,PMC11821520,"Lazarescu, Ziv-Agam, Haim, Hekselman, Jubran, Shneyour, Muallem, Zemer, Rosengarten-Levin, Kitsberg, Levin, Liberty, Yoel, Dukhno, Adam, Braune, Müller, Raulien, Gericke, Körner, Murphy, Blüher, Habib, Rudich, Yeger-Lotem"
Hybrid CNN-GRU Model for Real-Time Blood Glucose Forecasting: Enhancing IoT-Based Diabetes Management with AI.,2024,PMC11644964,"Alkanhel, Saleh, Elaraby, Alharbi, Elmannai, Alaklabi, Alsamhi, Mostafa"
Identifying and quantifying potentially problematic prescribing cascades in clinical practice: A mixed-methods study.,2024,PMC11637293,"Mohammad, Hugtenburg, Vanhommerig, van den Bemt, Denig, Karapinar-Carkıt"
Impact of BMI and waist circumference on epigenome-wide DNA methylation and identification of epigenetic biomarkers in blood: an EWAS in multi-ethnic Asian individuals.,2021,PMC8527674,"Chen, Kassam, Lau, Kooner, Wilson, Peters, Winkelmann, Chambers, Chow, Khor, van Dam, Teo, Loh, Sim"
