feature,importance_normalized,importance_scaled,n_models,models,mc_cv_recall_mean,mc_cv_recall_std
item_PREDNISOLONE,0.21280759865577534,0.04252223821778989,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_J40,0.21280748971980362,0.042522216450703705,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_81001,0.21278679599893804,0.04251808152632217,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99223,0.2127748045590797,0.04251568545181425,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H6692,0.2127145023587787,0.04250363614275549,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CETIRIZINE HCL ALLERGY CH,0.2126935605751213,0.04249945165160474,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_82947,0.21269329893428765,0.04249939937173351,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_94760,0.212665816192786,0.04249390789638962,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H109,0.21264117856060244,0.04248898491773919,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_J7030,0.21256303226048828,0.042473370082506415,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_B354,0.21251008953080497,0.04246279130910868,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92552,0.21248874064123072,0.04245852547192103,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90744,0.2124658061190875,0.04245394280090672,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_RANITIDINE HCL,0.21242214049615443,0.04244521773642586,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CIPRODEX,0.21237807615752233,0.042436413002402924,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S81012A,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S8254X,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_RISPERIDONE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ROBAFEN,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S0086XA,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S20212,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S42402,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S43402A,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S5002X,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_QUETIAPINE FUMARATE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z111,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z135,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_74181,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z762,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z79899,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ZOLMITRIPTAN,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_29065,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_V6549,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_VYVANSE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z0000,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_29130,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_T1490,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_72195,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z0189,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z022,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R6251,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_76010,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_76705,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_TAMIFLU,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_TOBRAMYCIN/DEXAMETHASONE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_00170,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ZOLMITRIPTAN ODT,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_V202,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R1314,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R159,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_78605,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_73600,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_73610,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_74000,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_12002,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99305,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99309,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92567,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_93005,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99420,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99471,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_B850,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92060,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_96361,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_96374,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99219,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99221,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99472,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_A0839,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_86141,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_86480,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_95115,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_95165,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_95819,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_96101,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92015,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99382,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90792,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90833,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92004,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92012,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_85652,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_CVS ALLERGY RELIEF ADULT,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
