drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method,guideline_id,guideline_url,source
MECLIZINE,meclizine,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MELOXICAM,meloxicam,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MERCAPTOPURINE,mercaptopurine,NUDT15,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MERCAPTOPURINE,mercaptopurine,TPMT,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METFORMIN,metformin,C11orf65,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHADONE,methadone,COMT,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHADONE,methadone,CYP2B6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHADONE,methadone,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHADONE,methadone,OPRM1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHAZOLAMIDE,methazolamide,HLA-B,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHAZOLAMIDE,methazolamide,HLA-C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHIMAZOLE,methimazole,HLA-B,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHOTREXATE,methotrexate,ABCB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHOTREXATE,methotrexate,MTHFR,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHOTREXATE,methotrexate,SLCO1B1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHOTREXATE,methotrexate,ATIC,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHOTREXATE,methotrexate,MTRR,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METHYLPHENIDATE,methylphenidate,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOCLOPRAMIDE,metoclopramide,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOCLOPRAMIDE,metoclopramide,CYB5R1,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOCLOPRAMIDE,metoclopramide,CYB5R2,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOCLOPRAMIDE,metoclopramide,CYB5R3,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOCLOPRAMIDE,metoclopramide,CYB5R4,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOPROLOL,metoprolol,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOPROLOL,metoprolol,ADRA2C,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOPROLOL,metoprolol,ADRB1,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOPROLOL,metoprolol,GRK4,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
METOPROLOL,metoprolol,GRK5,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MIDAZOLAM,midazolam,CYP3A5,,metabolism,CPIC,,C/D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MIRTAZAPINE,mirtazapine,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MIRTAZAPINE,mirtazapine,FKBP5,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MODAFINIL,modafinil,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
MORPHINE,morphine,COMT,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
