drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method,guideline_id,guideline_url,source
ATORVASTATIN,atorvastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,APOE,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,CETP,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,COQ2,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,KIF6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,LDLR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ATORVASTATIN,atorvastatin,LPA,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
AZATHIOPRINE,azathioprine,NUDT15,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
AZATHIOPRINE,azathioprine,TPMT,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BETAXOLOL,betaxolol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BETAXOLOL,betaxolol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BETAXOLOL,betaxolol,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BETAXOLOL,betaxolol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BETAXOLOL,betaxolol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BISOPROLOL,bisoprolol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BISOPROLOL,bisoprolol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BISOPROLOL,bisoprolol,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BISOPROLOL,bisoprolol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BISOPROLOL,bisoprolol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BUDESONIDE,budesonide,CRHR1,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BUPRENORPHINE,buprenorphine,COMT,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BUPRENORPHINE,buprenorphine,OPRM1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
BUPROPION,bupropion,CYP2B6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CAPECITABINE,capecitabine,DPYD,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CAPECITABINE,capecitabine,TYMS,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CAPTOPRIL,captopril,ACE,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARBAMAZEPINE,carbamazepine,HLA-A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARBAMAZEPINE,carbamazepine,HLA-B,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARBAMAZEPINE,carbamazepine,SCN1A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARBAMAZEPINE,carbamazepine,EPHX1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARISOPRODOL,carisoprodol,CYP2C19,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,ADRB2,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CARVEDILOL,carvedilol,GRK5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CELECOXIB,celecoxib,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CEVIMELINE,cevimeline,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CHLOROQUINE,chloroquine,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CIPROFLOXACIN,ciprofloxacin,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,COMT,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,GRIK4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,HTR2A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,SLC6A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CITALOPRAM,citalopram,FKBP5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOMIPRAMINE,clomipramine,CYP2C19,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOMIPRAMINE,clomipramine,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOPIDOGREL,clopidogrel,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOPIDOGREL,clopidogrel,CES1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOZAPINE,clozapine,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOZAPINE,clozapine,HTR2C,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOZAPINE,clozapine,MC4R,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CLOZAPINE,clozapine,ANKK1,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CODEINE,codeine,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CODEINE,codeine,COMT,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CODEINE,codeine,OPRM1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
CYCLOSPORINE,cyclosporine,CYP3A5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DAPSONE,dapsone,G6PD,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DAPSONE,dapsone,HLA-B,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DARIFENACIN,darifenacin,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DESFLURANE,desflurane,CACNA1S,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DESFLURANE,desflurane,RYR1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DESIPRAMINE,desipramine,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DESVENLAFAXINE,desvenlafaxine,HTR2A,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DESVENLAFAXINE,desvenlafaxine,SLC6A4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DIAZEPAM,diazepam,CYP2C19,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DICLOFENAC,diclofenac,CYP2C8,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DICLOFENAC,diclofenac,CYP2C9,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DIGOXIN,digoxin,ABCB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DIVALPROEX SODIUM,DIVALPROEX SODIUM,POLG,,metabolism,CPIC,,A/B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DONEPEZIL,donepezil,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DOXEPIN,doxepin,CYP2C19,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DOXEPIN,doxepin,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DRONABINOL,dronabinol,CYP2C9,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DULOXETINE,duloxetine,CYP2C19,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DULOXETINE,duloxetine,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DULOXETINE,duloxetine,HTR2A,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
DULOXETINE,duloxetine,SLC6A4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,COMT,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,GRIK4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,HTR2A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESCITALOPRAM,escitalopram,SLC6A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ESOMEPRAZOLE,esomeprazole,CYP2C19,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FENTANYL,fentanyl,ABCB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FENTANYL,fentanyl,COMT,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FENTANYL,fentanyl,OPRM1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLECAINIDE,flecainide,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOROURACIL,fluorouracil,DPYD,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOROURACIL,fluorouracil,GSTP1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOROURACIL,fluorouracil,NQO1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOROURACIL,fluorouracil,TYMS,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOROURACIL,fluorouracil,UMPS,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,CYP2C19,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,GRIK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,HTR2A,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,SLC6A4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUOXETINE,fluoxetine,FKBP5,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLURBIPROFEN,flurbiprofen,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUTICASONE PROPIONATE,fluticasone propionate,CRHR1,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,CETP,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVASTATIN,fluvastatin,LPA,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVOXAMINE,fluvoxamine,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVOXAMINE,fluvoxamine,CYP2C19,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVOXAMINE,fluvoxamine,HTR2A,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FLUVOXAMINE,fluvoxamine,SLC6A4,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
FUROSEMIDE,furosemide,ADD1,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
GALANTAMINE,galantamine,CYP2D6,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
GENTAMICIN,gentamicin,MT-RNR1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
GLIMEPIRIDE,glimepiride,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
GLIPIZIDE,glipizide,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
GLYBURIDE,glyburide,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HALOPERIDOL,haloperidol,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HALOPERIDOL,haloperidol,MC4R,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDRALAZINE,hydralazine,NAT2,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,NEDD4L,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,PRKCA,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,YEATS4,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCODONE,hydrocodone,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCODONE,hydrocodone,COMT,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROCODONE,hydrocodone,OPRM1,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROMORPHONE,hydromorphone,COMT,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
HYDROMORPHONE,hydromorphone,OPRM1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
IBUPROFEN,ibuprofen,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
IBUPROFEN,ibuprofen,CYP2C8,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
IMIPRAMINE,imipramine,CYP2C19,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
IMIPRAMINE,imipramine,CYP2D6,,metabolism,CPIC,,B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
INDOMETHACIN,indomethacin,CYP2C9,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
ISONIAZID,isoniazid,NAT2,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
L-METHYLFOLATE,l-methylfolate,MTHFR,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,ADRA2C,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,ADRB1,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,ADRB2,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,GRK4,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LABETALOL,labetalol,GRK5,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LAMOTRIGINE,lamotrigine,UGT1A4,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LANSOPRAZOLE,lansoprazole,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LATANOPROST,latanoprost,PTGFR,,metabolism,CPIC,,D,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LIDOCAINE,lidocaine,G6PD,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LOVASTATIN,lovastatin,SLCO1B1,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LOVASTATIN,lovastatin,CYP3A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LOVASTATIN,lovastatin,CYP3A5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
LOVASTATIN,lovastatin,HMGCR,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
