combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_METRONIDAZOLE|item_drug_MUPIROCIN|item_drug_OFLOXACIN,METRONIDAZOLE + MUPIROCIN + OFLOXACIN,3,2,0.0007097295458961833,3455,3453
item_drug_ACYCLOVIR|item_drug_KETOCONAZOLE,ACYCLOVIR + KETOCONAZOLE,2,2,0.000703707133953675,2181,2181
item_drug_BENZONATATE|item_drug_LATANOPROST|item_drug_LEVOFLOXACIN,BENZONATATE + LATANOPROST + LEVOFLOXACIN,3,2,0.0007035273101609,229,229
item_drug_LORYNA|item_drug_METRONIDAZOLE|item_drug_MUPIROCIN,LORYNA + METRONIDAZOLE + MUPIROCIN,3,2,0.00070314882470775,3455,3453
item_drug_ACYCLOVIR|item_drug_KETOCONAZOLE|item_drug_OMEPRAZOLE,ACYCLOVIR + KETOCONAZOLE + OMEPRAZOLE,3,2,0.0007009835048107333,2176,435
item_drug_KETOCONAZOLE|item_drug_NUVARING|item_drug_OMEPRAZOLE,KETOCONAZOLE + NUVARING + OMEPRAZOLE,3,2,0.0006939688083579833,3563,53
item_drug_KETOCONAZOLE|item_drug_NUVARING,KETOCONAZOLE + NUVARING,2,2,0.00069318508927455,3587,2639
item_drug_NAPROXEN|item_drug_NEXPLANON|item_drug_NORETHINDRONE,NAPROXEN + NEXPLANON + NORETHINDRONE,3,2,0.0006882322730909667,3327,3264
item_drug_ACYCLOVIR|item_drug_BENZONATATE,ACYCLOVIR + BENZONATATE,2,2,0.00068281262419815,2868,2868
item_drug_LORYNA|item_drug_NORETHINDRONE|item_drug_OFLOXACIN,LORYNA + NORETHINDRONE + OFLOXACIN,3,2,0.0006767399480350834,3327,3264
item_drug_METRONIDAZOLE|item_drug_NORETHINDRONE,METRONIDAZOLE + NORETHINDRONE,2,2,0.00067530216041055,3327,3264
item_drug_LORYNA|item_drug_NEXPLANON|item_drug_OFLOXACIN,LORYNA + NEXPLANON + OFLOXACIN,3,2,0.0006734424213086334,4000,4000
item_drug_ERYTHROMYCIN|item_drug_NORETHINDRONE|item_drug_OFLOXACIN,ERYTHROMYCIN + NORETHINDRONE + OFLOXACIN,3,2,0.0006671371223632833,3327,3264
item_drug_MUPIROCIN|item_drug_NAPROXEN|item_drug_NORETHINDRONE,MUPIROCIN + NAPROXEN + NORETHINDRONE,3,2,0.0006647723805563667,2957,2918
item_drug_ERYTHROMYCIN|item_drug_NEXPLANON|item_drug_OFLOXACIN,ERYTHROMYCIN + NEXPLANON + OFLOXACIN,3,2,0.0006638395956368333,4000,4000
item_drug_DIFFERIN|item_drug_NORETHINDRONE|item_drug_PREDNISONE,DIFFERIN + NORETHINDRONE + PREDNISONE,3,2,0.0006634037465170833,3327,3264
item_drug_MUPIROCIN|item_drug_NAPROXEN|item_drug_NEXPLANON,MUPIROCIN + NAPROXEN + NEXPLANON,3,2,0.0006614748538299167,3455,3453
