cohort,age_band,bin,feature,drug_name,rank,combined_importance
non_opioid_ed,0_12,low,item_drug_MUPIROCIN,MUPIROCIN,11,0.0017410645731069
non_opioid_ed,0_12,low,item_drug_NYSTATIN,NYSTATIN,7,0.0026972567751942
non_opioid_ed,0_12,low,item_drug_OFLOXACIN,OFLOXACIN,12,0.0014454920485224
non_opioid_ed,0_12,low,item_drug_PREDNISOLONE,PREDNISOLONE,16,0.0011389068591348
non_opioid_ed,0_12,low,item_drug_PREDNISONE,PREDNISONE,15,0.0011705466180613
non_opioid_ed,0_12,low,item_drug_TAMIFLU,TAMIFLU,14,0.0011739985572324
non_opioid_ed,0_12,low,item_drug_VYVANSE,VYVANSE,9,0.0019421351718683
non_opioid_ed,0_12,medium,item_drug_AMOXICILLIN,AMOXICILLIN,3,0.0201641576708394
non_opioid_ed,0_12,medium,item_drug_AZITHROMYCIN,AZITHROMYCIN,6,0.0036038498496088
non_opioid_ed,0_12,medium,item_drug_BENZONATATE,BENZONATATE,18,0.0006299953453846
non_opioid_ed,0_12,medium,item_drug_CEFDINIR,CEFDINIR,5,0.0037752826105129
non_opioid_ed,0_12,medium,item_drug_CEPHALEXIN,CEPHALEXIN,4,0.0048799935250521
non_opioid_ed,0_12,medium,item_drug_CIPRODEX,CIPRODEX,16,0.0012738877581482
non_opioid_ed,0_12,medium,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,17,0.0011582874536193
non_opioid_ed,0_12,medium,item_drug_HYDROCORTISONE,HYDROCORTISONE,19,0.0005894748804728
non_opioid_ed,0_12,medium,item_drug_IBUPROFEN,IBUPROFEN,8,0.0022826141729589
non_opioid_ed,0_12,medium,item_drug_LORATADINE,LORATADINE,7,0.0023501955575031
non_opioid_ed,0_12,medium,item_drug_MUPIROCIN,MUPIROCIN,10,0.0018820366226341
non_opioid_ed,0_12,medium,item_drug_NYSTATIN,NYSTATIN,9,0.0022322619917657
non_opioid_ed,0_12,medium,item_drug_OFLOXACIN,OFLOXACIN,13,0.0013120512777539
non_opioid_ed,0_12,medium,item_drug_PREDNISOLONE,PREDNISOLONE,12,0.0013218630495992
non_opioid_ed,0_12,medium,item_drug_PREDNISONE,PREDNISONE,14,0.0012844052036909
non_opioid_ed,0_12,medium,item_drug_TAMIFLU,TAMIFLU,15,0.0012776041851738
non_opioid_ed,0_12,medium,item_drug_TRETINOIN,TRETINOIN,20,0.0003936542924771
non_opioid_ed,0_12,medium,item_drug_VYVANSE,VYVANSE,11,0.0018149043114102
non_opioid_ed,0_12,extreme,item_drug_AMOXICILLIN,AMOXICILLIN,3,0.0218327365097369
non_opioid_ed,0_12,extreme,item_drug_AZITHROMYCIN,AZITHROMYCIN,5,0.0083548519868748
non_opioid_ed,0_12,extreme,item_drug_BENZONATATE,BENZONATATE,15,0.0025926055848988
non_opioid_ed,0_12,extreme,item_drug_BUDESONIDE,BUDESONIDE,8,0.0052431510556946
non_opioid_ed,0_12,extreme,item_drug_CEFDINIR,CEFDINIR,4,0.0127106586251286
non_opioid_ed,0_12,extreme,item_drug_CEPHALEXIN,CEPHALEXIN,6,0.0074313638623473
non_opioid_ed,0_12,extreme,item_drug_CIPRODEX,CIPRODEX,20,0.0018375396635491
non_opioid_ed,0_12,extreme,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,18,0.0020215371143854
non_opioid_ed,0_12,extreme,item_drug_HYDROCORTISONE,HYDROCORTISONE,9,0.0048056422409636
non_opioid_ed,0_12,extreme,item_drug_IBUPROFEN,IBUPROFEN,11,0.0045096416036105
non_opioid_ed,0_12,extreme,item_drug_LORATADINE,LORATADINE,12,0.0039338169541099
non_opioid_ed,0_12,extreme,item_drug_MUPIROCIN,MUPIROCIN,13,0.0036017096075697
non_opioid_ed,0_12,extreme,item_drug_NYSTATIN,NYSTATIN,7,0.0058509427408506
non_opioid_ed,0_12,extreme,item_drug_OFLOXACIN,OFLOXACIN,19,0.0019047665115196
non_opioid_ed,0_12,extreme,item_drug_PREDNISOLONE,PREDNISOLONE,14,0.003287871613584
non_opioid_ed,0_12,extreme,item_drug_PREDNISONE,PREDNISONE,16,0.0023902428290185
non_opioid_ed,0_12,extreme,item_drug_RISPERIDONE,RISPERIDONE,17,0.0021368485290759
non_opioid_ed,0_12,extreme,item_drug_VYVANSE,VYVANSE,10,0.0047510237999997
non_opioid_ed,0_12,high,item_drug_AMOXICILLIN,AMOXICILLIN,3,0.0229085245396923
non_opioid_ed,0_12,high,item_drug_AZITHROMYCIN,AZITHROMYCIN,5,0.0060185599312451
non_opioid_ed,0_12,high,item_drug_BENZONATATE,BENZONATATE,20,0.0009498583002897
non_opioid_ed,0_12,high,item_drug_BUDESONIDE,BUDESONIDE,19,0.0009685630227627
non_opioid_ed,0_12,high,item_drug_CEFDINIR,CEFDINIR,4,0.0063663189148076
non_opioid_ed,0_12,high,item_drug_CEPHALEXIN,CEPHALEXIN,6,0.0057930962348787
non_opioid_ed,0_12,high,item_drug_CIPRODEX,CIPRODEX,17,0.0013276849245617
non_opioid_ed,0_12,high,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,15,0.0014949598498806
non_opioid_ed,0_12,high,item_drug_HYDROCORTISONE,HYDROCORTISONE,13,0.0016947504240406
non_opioid_ed,0_12,high,item_drug_IBUPROFEN,IBUPROFEN,8,0.0032604178474932
non_opioid_ed,0_12,high,item_drug_LORATADINE,LORATADINE,9,0.0028343626438065
non_opioid_ed,0_12,high,item_drug_MUPIROCIN,MUPIROCIN,11,0.0025285830051086
non_opioid_ed,0_12,high,item_drug_NYSTATIN,NYSTATIN,7,0.003892232766556
non_opioid_ed,0_12,high,item_drug_OFLOXACIN,OFLOXACIN,16,0.0013609970096542
non_opioid_ed,0_12,high,item_drug_PREDNISOLONE,PREDNISOLONE,12,0.0020168820329763
non_opioid_ed,0_12,high,item_drug_PREDNISONE,PREDNISONE,14,0.001569106543171
non_opioid_ed,0_12,high,item_drug_TAMIFLU,TAMIFLU,18,0.0011707455053348
non_opioid_ed,0_12,high,item_drug_VYVANSE,VYVANSE,10,0.0026543449869652
non_opioid_ed,65_74,low,item_drug_ALLOPURINOL,ALLOPURINOL,17,0.0001854388461591
non_opioid_ed,65_74,low,item_drug_ALPRAZOLAM,ALPRAZOLAM,7,0.0019429051630946
non_opioid_ed,65_74,low,item_drug_AMOXICILLIN,AMOXICILLIN,4,0.0072011979267992
non_opioid_ed,65_74,low,item_drug_AZITHROMYCIN,AZITHROMYCIN,10,0.0008802738518339
non_opioid_ed,65_74,low,item_drug_BENZONATATE,BENZONATATE,18,0.0001401347377352
non_opioid_ed,65_74,low,item_drug_CARVEDILOL,CARVEDILOL,14,0.0004288184247798
non_opioid_ed,65_74,low,item_drug_CEPHALEXIN,CEPHALEXIN,16,0.0002582876665944
non_opioid_ed,65_74,low,item_drug_FUROSEMIDE,FUROSEMIDE,3,0.0081169072817572
non_opioid_ed,65_74,low,item_drug_GABAPENTIN,GABAPENTIN,13,0.0005882805234932
non_opioid_ed,65_74,low,item_drug_LATANOPROST,LATANOPROST,8,0.0009719522435847
non_opioid_ed,65_74,low,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,20,0.000126355058631
non_opioid_ed,65_74,low,item_drug_LISINOPRIL,LISINOPRIL,6,0.0020982615954835
non_opioid_ed,65_74,low,item_drug_MELOXICAM,MELOXICAM,12,0.0006698860757159
non_opioid_ed,65_74,low,item_drug_METRONIDAZOLE,METRONIDAZOLE,19,0.0001379830287662
non_opioid_ed,65_74,low,item_drug_OFLOXACIN,OFLOXACIN,9,0.0009226345723929
non_opioid_ed,65_74,low,item_drug_OMEPRAZOLE,OMEPRAZOLE,11,0.0007318462955108
non_opioid_ed,65_74,low,item_drug_PREDNISONE,PREDNISONE,15,0.0004154157827554
non_opioid_ed,65_74,low,item_drug_SIMVASTATIN,SIMVASTATIN,5,0.0028054553969473
non_opioid_ed,65_74,medium,item_drug_ALLOPURINOL,ALLOPURINOL,18,0.0004114258914447
non_opioid_ed,65_74,medium,item_drug_ALPRAZOLAM,ALPRAZOLAM,6,0.0054312485700759
non_opioid_ed,65_74,medium,item_drug_AMOXICILLIN,AMOXICILLIN,4,0.0158698643208898
non_opioid_ed,65_74,medium,item_drug_AZITHROMYCIN,AZITHROMYCIN,14,0.0009063966252596
non_opioid_ed,65_74,medium,item_drug_BENZONATATE,BENZONATATE,19,0.0003760974340565
non_opioid_ed,65_74,medium,item_drug_CARVEDILOL,CARVEDILOL,11,0.0010604652633369
non_opioid_ed,65_74,medium,item_drug_CEPHALEXIN,CEPHALEXIN,16,0.0004929991791424
non_opioid_ed,65_74,medium,item_drug_FUROSEMIDE,FUROSEMIDE,3,0.0185283649016399
non_opioid_ed,65_74,medium,item_drug_GABAPENTIN,GABAPENTIN,13,0.0009999654526393
non_opioid_ed,65_74,medium,item_drug_LATANOPROST,LATANOPROST,9,0.0023195589991775
non_opioid_ed,65_74,medium,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,20,0.0002870653877805
non_opioid_ed,65_74,medium,item_drug_LISINOPRIL,LISINOPRIL,7,0.0031672853449301
