combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_ALPRAZOLAM|item_drug_LORAZEPAM|item_drug_LYRICA,ALPRAZOLAM + LORAZEPAM + LYRICA,3,5,0.0720790723668208,7281,7281
item_drug_AMOXICILLIN|item_drug_CLONAZEPAM|item_drug_LYRICA,AMOXICILLIN + CLONAZEPAM + LYRICA,3,5,0.07201943747608526,7281,7281
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_LORAZEPAM,AMOXICILLIN + AZITHROMYCIN + LORAZEPAM,3,5,0.07169232249037995,7281,7281
item_drug_AZITHROMYCIN|item_drug_BACLOFEN|item_drug_OMEPRAZOLE,AZITHROMYCIN + BACLOFEN + OMEPRAZOLE,3,5,0.0714515081664611,7281,7281
item_drug_BACLOFEN|item_drug_CLONAZEPAM,BACLOFEN + CLONAZEPAM,2,5,0.0710732571648409,7281,7281
item_drug_CLONAZEPAM|item_drug_DIAZEPAM|item_drug_LORAZEPAM,CLONAZEPAM + DIAZEPAM + LORAZEPAM,3,5,0.07100740048814394,7281,7281
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_LYRICA,AMOXICILLIN + AZITHROMYCIN + LYRICA,3,5,0.0706292706066239,7281,7281
item_drug_ALPRAZOLAM|item_drug_BACLOFEN|item_drug_CEPHALEXIN,ALPRAZOLAM + BACLOFEN + CEPHALEXIN,3,5,0.07055286937217593,7281,7281
item_drug_CLONAZEPAM|item_drug_DIAZEPAM|item_drug_LYRICA,CLONAZEPAM + DIAZEPAM + LYRICA,3,5,0.06994434860438789,7281,7281
item_drug_ALPRAZOLAM|item_drug_BACLOFEN|item_drug_LORAZEPAM,ALPRAZOLAM + BACLOFEN + LORAZEPAM,3,5,0.069941713667603,7281,7281
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_CLONAZEPAM,AMOXICILLIN + BACLOFEN + CLONAZEPAM,3,5,0.06988207877686745,7281,7281
