combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_ALPRAZOLAM|item_drug_ATENOLOL|item_drug_LORAZEPAM,ALPRAZOLAM + ATENOLOL + LORAZEPAM,3,5,0.021626010762162633,0.04453976307518381,386,385
item_drug_ALPRAZOLAM|item_drug_CARVEDILOL|item_drug_HYDROCHLOROTHIAZIDE,ALPRAZOLAM + CARVEDILOL + HYDROCHLOROTHIAZIDE,3,5,0.021612564240439315,0.027779237115427402,1991,1991
item_drug_IBUPROFEN|item_drug_LORAZEPAM,IBUPROFEN + LORAZEPAM,2,5,0.02142218930275757,0.06960238465705759,5519,5519
item_drug_ATENOLOL|item_drug_LEVOFLOXACIN|item_drug_SIMVASTATIN,ATENOLOL + LEVOFLOXACIN + SIMVASTATIN,3,5,0.020572038318046635,0.041810546901253735,1228,568
item_drug_CEPHALEXIN|item_drug_IBUPROFEN|item_drug_LORAZEPAM,CEPHALEXIN + IBUPROFEN + LORAZEPAM,3,5,0.02055602910696013,0.07664271759762054,5519,5519
item_drug_CARVEDILOL|item_drug_GABAPENTIN|item_drug_HYDROCHLOROTHIAZIDE,CARVEDILOL + GABAPENTIN + HYDROCHLOROTHIAZIDE,3,5,0.020312021628108107,0.03511755465995663,1991,1991
item_drug_CLONAZEPAM|item_drug_FLUCONAZOLE|item_drug_KETOCONAZOLE,CLONAZEPAM + FLUCONAZOLE + KETOCONAZOLE,3,5,0.01999950490443498,0.040057868220783305,7280,7214
item_drug_AMOXICILLIN|item_drug_FLUCONAZOLE|item_drug_LORAZEPAM,AMOXICILLIN + FLUCONAZOLE + LORAZEPAM,3,5,0.019996039868335803,0.08267002871899494,5396,5396
item_drug_ATENOLOL|item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM,ATENOLOL + LEVOFLOXACIN + LORAZEPAM,3,5,0.019981210777815124,0.05055707311790947,436,385
item_drug_CLONAZEPAM|item_drug_FLUCONAZOLE|item_drug_METHOCARBAMOL,CLONAZEPAM + FLUCONAZOLE + METHOCARBAMOL,3,5,0.019960215661445246,0.0407348771999831,6691,6691
item_drug_CLONAZEPAM|item_drug_FLUCONAZOLE|item_drug_LAMOTRIGINE,CLONAZEPAM + FLUCONAZOLE + LAMOTRIGINE,3,5,0.019886701740887976,0.04070424074289893,6775,6775
item_drug_AMOXICILLIN|item_drug_LEVOFLOXACIN|item_drug_LORAZEPAM,AMOXICILLIN + LEVOFLOXACIN + LORAZEPAM,3,5,0.0198169808427378,0.04918454460474694,408,59
item_drug_ATENOLOL|item_drug_FUROSEMIDE|item_drug_LEVOFLOXACIN,ATENOLOL + FUROSEMIDE + LEVOFLOXACIN,3,5,0.019549443581222313,0.03466429975711547,1201,568
item_drug_ATENOLOL|item_drug_LORAZEPAM,ATENOLOL + LORAZEPAM,2,5,0.019456137932562102,0.04713916400039545,456,385
item_drug_ATENOLOL|item_drug_AZITHROMYCIN|item_drug_FUROSEMIDE,ATENOLOL + AZITHROMYCIN + FUROSEMIDE,3,5,0.019377430273626088,0.0340618730956141,2197,1571
item_drug_FLUCONAZOLE|item_drug_IBUPROFEN|item_drug_LORAZEPAM,FLUCONAZOLE + IBUPROFEN + LORAZEPAM,3,5,0.018779779166279646,0.0647215295378589,5396,5396
item_drug_FLUCONAZOLE|item_drug_LEVOFLOXACIN|item_drug_PREDNISONE,FLUCONAZOLE + LEVOFLOXACIN + PREDNISONE,3,5,0.018519793795069562,0.0314204894828411,2879,2879
item_drug_CLONAZEPAM|item_drug_IBUPROFEN|item_drug_NAPROXEN,CLONAZEPAM + IBUPROFEN + NAPROXEN,3,5,0.017670962741592265,0.033299813432993396,7449,7449
item_drug_ALPRAZOLAM|item_drug_LORAZEPAM|item_drug_MELOXICAM,ALPRAZOLAM + LORAZEPAM + MELOXICAM,3,5,0.017528659995453746,0.044269379782523134,4797,4797
