title,pubdate,pmc_id,authors
Development and validation of a drug adherence index for COPD.,2021,PMC10391199,"Bengtson, Bancroft, Schilling, Buikema, Stanford"
Development and validation of a one year predictive model for secondary fractures in osteoporosis.,2021,PMC8475984,"Williams, Greenspan, Bancroft, Chastek, Wang, Weiss, Pyrih, Nichols, Cauley"
Development and validation of a predictive model for persistent opioid use in new opioid analgesic users via a nationwide claims database.,2024,NA,"Noh, Heo, Cho, Lee, Ah"
Development and validation of novel simple prognostic model for predicting mortality in Korean intensive care units using national insurance claims data.,2024,PMC11236819,"Leem, Han, Chung, Lee, Park, Lee, Kim"
Development and validation of prediction models for stroke and myocardial infarction in type 2 diabetes based on health insurance claims: does machine learning outperform traditional regression approaches?,2025,PMC11837347,"Stephan, Hanselmann, Bajramovic, Schosser, Laxy"
Development of a predictive model for integrated medical and long-term care resource consumption based on health behaviour: application of healthcare big data of patients with circulatory diseases.,2021,PMC7792071,"Takura, Hirano Goto, Honda"
Diagnostic Performance of Prostate Cancer Disease-Specific Phenotypes Identified Using Real-World Databases: A Systematic Review.,2025,PMC12527646,"Vyas, Kamat, Thomas, Gambino, Brown, Raval"
Digital Twin Cognition: AI-Biomarker Integration in Biomimetic Neuropsychology.,2025,PMC12561581,"Gkintoni, Halkiopoulos"
Economic Burden of Treatment-Resistant Depression among Adults with Chronic Non-Cancer Pain Conditions and Major Depressive Disorder in the US.,2021,PMC8425301,"Shah, Allen, Zheng, Madhavan, Wei, LeMasters, Sambamoorthi"
Economic Evaluation of First-Line Pertuzumab Therapy in Patients with HER2-Positive Metastatic Breast Cancer in Japan.,2021,PMC8333148,"Moriwaki, Uechi, Fujiwara, Hagino, Shimozuma"
"Effect of compliance with GOLD treatment recommendations on COPD health care resource utilization, cost, and exacerbations among patients with COPD on maintenance therapy.",2021,PMC10394222,"Palli, Zhou, Shaikh, Willey"
Effects of early vs delayed progression on clinical and economic outcomes in patients with metastatic renal cell carcinoma treated with tyrosine kinase inhibitors as first-line therapy: results from the IMPACT RCC claims data analysis.,2021,PMC10394198,"Hutson, Liu, Dieyi, Kim, Krulewicz, Kasturi, Bhanegaonkar"
Electronic phenotyping of health outcomes of interest using a linked claims-electronic health record database: Findings from a machine learning pilot project.,2021,PMC8279790,"Gibson, Nguyen, Burrell, Yoon, Wong, Dharmarajan, Ouellet-Hellstrom, Hua, Ma, Baro, Bloemers, Pack, Kennedy, Toh, Ball"
Elevated Lipoprotein(a) Independently Increases Risk for Short-Term Atherosclerotic Cardiovascular Events in Machine Learning Predictive Models.,2025,PMC12593648,"Ward, Kron, Lozama, Sandhu, Khandelwal, Rodriguez, Dash, Nallamshetty"
"Epidemiology, Management, Quality of Testing and Cost of Syphilis in Germany: A Retrospective Model Analysis.",2022,PMC9086961,"Šmit, Wojtalewicz, Vierbaum, Nourbakhsh, Schellenberg, Hunfeld, Lohr"
Estimating the Impact of Hospital-Level Variation on the Use of Inpatient Rehabilitation Facilities Versus Skilled Nursing Facilities on Individual Patients With Stroke.,2024,NA,"Simmonds, Burke, Kozlowski, Andary, Luo, Reeves"
Evaluating Triple Therapy Treatment Pathways in Chronic Obstructive Pulmonary Disease (COPD): A Machine-Learning Predictive Model.,2022,PMC8995152,"Bogart, Liu, Oakland, Stiegler"
Evaluation of Perioperative Cardiovascular Event Risk in Gastrointestinal Surgery　- Predictive Modeling and Risk Stratification Using Machine Learning.,2025,NA,"Ito, Seki, Kawazoe, Takiguchi, Akagi, Kubota, Miyake, Okada, Ohe"
External Validation of a Risk Prediction Model for Atherosclerotic Cardiovascular Diseases in a Large National Health-Checkup and Claim Database.,2025,PMC12533744,"Honda, Furuta, Maezono, Chen, Ishida, Furuhashi, Kumamoto, Oishi, Kimura, Yoshida, Ninomiya"
