feature,importance_normalized,importance_scaled,n_models,models
item_DIVALPROEX SODIUM DR,0.032688214131325305,0.0039119176999797625,3,"catboost,xgboost,xgboost_rf"
item_MEGESTROL ACETATE,0.032028421339750354,0.0038329578923465986,3,"catboost,xgboost,xgboost_rf"
item_LIDOCAINE VISCOUS,0.03195124463075041,0.003823721874350933,3,"catboost,xgboost,xgboost_rf"
item_HYDROXYZINE HYDROCHLORIDE,0.03134474835422553,0.003751140254884734,3,"catboost,xgboost,xgboost_rf"
item_CALCIUM ACETATE,0.03131752177076034,0.003747881950428591,3,"catboost,xgboost,xgboost_rf"
item_BRILINTA,0.03126311703329,0.003741371137246264,3,"catboost,xgboost,xgboost_rf"
item_LISINOPRIL/HYDROCHLOROTHI,0.031196236804412927,0.0037333673365469717,3,"catboost,xgboost,xgboost_rf"
item_RANITIDINE HYDROCHLORIDE,0.03069578591150968,0.0036734765545650095,3,"catboost,xgboost,xgboost_rf"
item_TRELEGY ELLIPTA,0.030030545752728902,0.0035938648406482797,3,"catboost,xgboost,xgboost_rf"
item_PHENAZOPYRIDINE HCL,0.02987804649864896,0.0035756146992097686,3,"catboost,xgboost,xgboost_rf"
item_DICLOFENAC SODIUM,0.02961074007513661,0.0035436251654513556,3,"catboost,xgboost,xgboost_rf"
item_LAMOTRIGINE,0.029410626041747254,0.0035196767898660413,3,"catboost,xgboost,xgboost_rf"
item_CEFDINIR,0.02906091276708696,0.00347782532794263,3,"catboost,xgboost,xgboost_rf"
item_CEFUROXIME AXETIL,0.028953611701050267,0.003464984218368112,3,"catboost,xgboost,xgboost_rf"
item_LEVOTHYROXINE SODIUM,0.028561298070964778,0.0034180346166765344,3,"catboost,xgboost,xgboost_rf"
item_SHINGRIX,0.028539542750760444,0.003415431078231939,3,"catboost,xgboost,xgboost_rf"
item_KETOROLAC TROMETHAMINE,0.028232859519170924,0.0033787291783630093,3,"catboost,xgboost,xgboost_rf"
item_SILDENAFIL CITRATE,0.028059104646058316,0.0033579352995400124,3,"catboost,xgboost,xgboost_rf"
item_BACLOFEN,0.028056761765955233,0.003357654918540691,3,"catboost,xgboost,xgboost_rf"
item_LEVEMIR FLEXTOUCH,0.026768308694533397,0.0032034610443988118,3,"catboost,xgboost,xgboost_rf"
item_RISPERIDONE,0.0267676561068904,0.0032033829468575644,3,"catboost,xgboost,xgboost_rf"
item_PROMETHAZINE HYDROCHLORID,0.02616521360419693,0.0031312864572776013,3,"catboost,xgboost,xgboost_rf"
item_RENVELA,0.025799459910349442,0.0030875153799392457,3,"catboost,xgboost,xgboost_rf"
item_MEMANTINE HYDROCHLORIDE,0.025281079264616296,0.003025478879100642,3,"catboost,xgboost,xgboost_rf"
item_ESOMEPRAZOLE MAGNESIUM,0.024999353898969533,0.002991763777994806,3,"catboost,xgboost,xgboost_rf"
item_MONTELUKAST SODIUM,0.024886287499203175,0.002978232709924154,3,"catboost,xgboost,xgboost_rf"
item_METOLAZONE,0.02484435618150874,0.0029732146363391815,3,"catboost,xgboost,xgboost_rf"
item_ENOXAPARIN SODIUM,0.024843684525121066,0.002973134256771773,3,"catboost,xgboost,xgboost_rf"
item_POLYETHYLENE GLYCOL 3350,0.024836874203350054,0.0029723192407488247,3,"catboost,xgboost,xgboost_rf"
item_ERYTHROMYCIN,0.024257856423229467,0.002903026073078154,3,"catboost,xgboost,xgboost_rf"
item_SODIUM CHLORIDE,0.024118908903551943,0.0028863977170776986,3,"catboost,xgboost,xgboost_rf"
item_DILTIAZEM HYDROCHLORIDE E,0.022808403714066314,0.0027295647856098604,3,"catboost,xgboost,xgboost_rf"
