feature,importance_normalized,importance_scaled,n_models,models
item_CARVEDILOL PHOSPHATE,0.005192307393588572,0.0006950958510459381,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ANTI-DIARRHEAL,0.005152938191085658,0.0006898254833183739,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DIPYRIDAMOLE,0.005148996189200322,0.0006892977662655092,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CAPTOPRIL,0.005148371046009247,0.0006892140781466272,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_RISAQUAD,0.00514788366260815,0.0006891488319748791,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_LEVETIRACETAM ER,0.005136036074563329,0.0006875627915749934,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CHLORDIAZEPOXIDE HCL,0.005110829682517298,0.0006841884038119215,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_MEMANTINE HCL TITRATION P,0.0050899167572531785,0.0006813887838198014,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_SELENIUM SULFIDE,0.005051927699071734,0.0006763031764538603,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_HYDROCORTISONE VALERATE,0.00504047898999539,0.000674770534109028,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TERCONAZOLE,0.0050291560683943005,0.0006732547309737295,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_INVOKANA,0.005014991699806563,0.0006713585424217615,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CALCITONIN SALMON,0.004990545462968272,0.0006680859168794131,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_NIACIN ER,0.004980403996376347,0.0006667282755039675,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_NATURAL BALANCE TEARS,0.004964428707348149,0.000664589658453584,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DELZICOL,0.004951050578015252,0.0006627987240020655,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ACCU-CHEK AVIVA,0.004926958756153421,0.0006595735441059416,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_KETOTIFEN FUMARATE,0.004916759971308993,0.0006582082295177057,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
