title,authors,pubdate,pmc_id
Forecasting Patient Early Readmission from Irish Hospital Discharge Records Using Conventional Machine Learning Models.,"Pham, Mai, Crane, Ebiele, Brennan, Ward, Geary, McDonald, Bezbradica",2024,PMC11545812
Enhanced desalination with polyamide thin-film membranes using ensemble ML chemometric methods and SHAP analysis.,"Usman, Abba, Abdu, Yogarathinam, Usman, Lawal, Salhi, Aljundi",2024,PMC11443411
Construction of a machine learning-based prediction model for unfavorable discharge outcomes in patients with ischemic stroke.,"He, Zhang, Mei, Qianyun, Zhang, Chen, Li, Meng, Wei",2024,PMC11408056
Analyzing classification and feature selection strategies for diabetes prediction across diverse diabetes datasets.,"Kaliappan, Saravana Kumar, Sundaravelan, Anesh, Rithik, Singh, Vera-Garcia, Himeur, Mansoor, Atalla, Srinivasan",2024,PMC11371799
Prediction of sepsis mortality in ICU patients using machine learning methods.,"Gao, Lu, Ashrafi, Domingo, Alaei, Pishgar",2024,PMC11328468
Machine learning-enabled prediction of prolonged length of stay in hospital after surgery for tuberculosis spondylitis patients with unbalanced data: a novel approach using explainable artificial intelligence (XAI).,"Yasin, Yimit, Cai, Aimaiti, Sheng, Mamat, Nijiati",2024,PMC11270948
Machine Learning Prediction of Treatment Response to Biological Disease-Modifying Antirheumatic Drugs in Rheumatoid Arthritis.,"Salehi, Lopera Gonzalez, Bayat, Kleyer, Zanca, Brost, Schett, Eskofier",2024,PMC11242607
Machine Learning Approach for Cardiovascular Death Prediction among Nonalcoholic Steatohepatitis (NASH) Liver Transplant Recipients.,"Fatemi, Nikfar, Oladazimi, Zheng, Hoy, Ali",2024,PMC11202858
Explainable Artificial Intelligence in Quantifying Breast Cancer Factors: Saudi Arabia Context.,"Alelyani, Alshammari, Almuhanna, Asan",2024,PMC11120946
Prediction of Cognitive Impairment Risk among Older Adults: A Machine Learning-Based Comparative Study and Model Development.,"Li, Li, Zhu, Liu, Li, He, Xu, Huang, Qin",2024,HSH6e12adec
Machine Learning-Based Discrimination of Cardiovascular Outcomes in Patients With Hypertrophic Cardiomyopathy.,"Rhee, Ko, Kim, Lee, Kim, Choi, Hwang, Park, Yoon, Kim, Cho",2024,PMC11099823
Pain prediction model based on machine learning and SHAP values for elders with dementia in Taiwan.,"Tsay, Chang, Shueh Hung, Su, Kuo, Mu",2024,HSH6e12adec
Machine learning approaches to enhance diagnosis and staging of patients with MASLD using routinely available clinical information.,"McTeer, Applegate, Mesenbrink, Ratziu, Schattenberg, Bugianesi, Geier, Romero Gomez, Dufour, Ekstedt, Francque, Yki-Jarvinen, Allison, Valenti, Miele, Pavlides, Cobbold, Papatheodoridis, Holleboom, Tiniakos, Brass, Anstee, Missier",2024,PMC10903803
Exploring White Matter Abnormalities in Young Children with Autism Spectrum Disorder: Integrating Multi-shell Diffusion Data and Machine Learning Analysis.,"Shen, Zhao, Wang, Sun, Zhang, Wang, Yang, Feng, Zhang",2024,HSH6e12adec
Building a predictive model for hypertension related to environmental chemicals using machine learning.,"Liu, Lu, Wang, Han, Ou, Gao, Luo, Huo, Zeng",2024,HSH6e12adec
The enlightening role of explainable artificial intelligence in medical & healthcare domains: A systematic literature review.,"Ali, Akhlaq, Imran, Kastrati, Daudpota, Moosa",2023,HSH6e12adec
"The development of machine learning algorithms that can predict patients satisfaction using baseline characteristics, and preoperative and operative factors of total knee arthroplasty.","Nam, Ho, Park, Cho, Lee",2023,HSH6e12adec
Using machine learning to identify patient characteristics to predict mortality of in-patients with COVID-19 in south Florida.,"Datta, George Dalmida, Martinez, Newman, Hashemi, Khoshgoftaar, Shorten, Sareli, Eckardt",2023,PMC10426497
Explainable Machine Learning to Predict Successful Weaning of Mechanical Ventilation in Critically Ill Patients Requiring Hemodialysis.,"Lin, Chang, Li, Chao",2023,PMC10048210
Gray matter volume drives the brain age gap in schizophrenia: a SHAP study.,"Ballester, Suh, Ho, Liang, Hassel, Strother, Arnott, Minuzzi, Sassi, Lam, Milev, Müller, Taylor, Kennedy, Reilly, Palaniyappan, Dunlop, Frey",2023,PMC9829754
Machine Learning Methods for Survival Analysis with Clinical and Transcriptomics Data of Breast Cancer.,"Doan, Angione, Occhipinti",2023,PMC6011013
Development of a machine learning model to predict lateral hinge fractures by analyzing patient factors before open wedge high tibial osteotomy.,"Jeong, Kim, Choi, Park, Lee",2023,PMC8436968
Prediction of conversion to dementia using interpretable machine learning in patients with amnestic mild cognitive impairment.,"Chun, Park, Kim, Jeong, Jang, Kim, Seo",2022,PMC9389270
Impact of System and Diagnostic Errors on Medical Litigation Outcomes: Machine Learning-Based Prediction Models.,"Yamamoto, Sukegawa, Watari",2022,PMC9140545
A Clinical Decision Support System for the Prediction of Quality of Life in ALS.,"Antoniadi, Galvin, Heverin, Wei, Hardiman, Mooney",2022,PMC8955774
Comparative analysis of explainable machine learning prediction models for hospital mortality.,"Stenwig, Salvi, Rossi, Skjærvold",2022,PMC8882271
Machine Learning Models for Predicting Influential Factors of Early Outcomes in Acute Ischemic Stroke: Registry-Based Study.,"Su, Wei, Luo, Liu, Huang, Chen, Lin, Wei, Lee",2022,PMC8994144
Using Explainable Machine Learning to Improve Intensive Care Unit Alarm Systems.,"González-Nóvoa, Busto, Rodríguez-Andina, Fariña, Segura, Gómez, Vila, Veiga",2021,PMC8587076
